#{"t_start": 1715162330.759624, "env_id": "PandaReachObjEnv-v0"}
r,l,t
-700.02098,1001,19.687062
-347.244485,1001,40.240203
-240.240597,1001,59.753537
-154.852108,1001,78.731081
-176.329541,1001,99.478132
-0.196793,3,99.629799
-0.19287,3,99.781112
-0.19379,3,100.015171
-0.194662,3,100.227344
-0.189751,3,100.468746
-0.191303,3,100.685742
-0.198176,3,100.904434
-0.248493,4,101.136146
-191.85718,915,118.383308
-8.460184,76,119.931538
-174.367591,1001,137.831049
-2.755777,32,138.534769
-0.146551,2,138.758528
-0.14263,2,138.976044
-0.140921,2,139.177669
-0.142222,2,139.359612
-0.144781,2,139.549933
-0.146101,2,139.730613
-0.146526,2,139.914638
-0.145937,2,140.097235
-0.145127,2,140.288913
-0.146078,2,140.473756
-0.148619,2,140.65887
-0.148536,2,140.842469
-0.149743,2,141.028573
-0.152955,2,141.215414
-0.155174,2,141.406917
-0.155143,2,141.599184
-0.152843,2,141.784604
-0.150474,2,141.978665
-0.14939,2,142.162137
-0.148918,2,142.343423
-0.147601,2,142.529963
-0.148791,2,142.71629
-0.153369,2,142.89319
-0.156878,2,143.075266
-0.160297,2,143.261663
-0.162754,2,143.440406
-0.189907,3,143.645154
-0.209335,3,143.845862
-0.237908,3,144.046641
-0.23387,3,144.245923
-0.213973,3,144.447747
-0.214688,3,144.652348
-0.215689,3,144.853073
-0.21864,3,145.053725
-0.234227,3,145.253626
-0.224338,3,145.450539
-0.228932,3,145.64585
-0.232334,3,145.847701
-0.239138,3,146.042525
-0.234475,3,146.236046
-0.236761,3,146.430283
-0.244143,3,146.636581
-0.243077,3,146.831746
-0.233495,3,147.044025
-0.233358,3,147.236454
-0.246349,3,147.434946
-0.240942,3,147.63886
-0.232939,3,147.846289
-0.215796,3,148.054705
-0.22795,3,148.249456
-0.234364,3,148.447177
-120.935518,955,167.847396
-0.181157,3,168.050123
-0.184293,3,168.244606
-0.181581,3,168.444866
-0.174895,3,168.640426
-0.172919,3,168.841389
-0.177422,3,169.05197
-0.180977,3,169.253299
-0.175415,3,169.457909
-0.135424,2,169.602775
-0.134537,2,169.741896
-0.138431,2,169.887895
-0.156339,2,170.038062
-0.20362,3,170.20804
-0.146965,2,170.357367
