#{"t_start": 1715162330.8596458, "env_id": "PandaReachObjEnv-v0"}
r,l,t
-0.183001,3,0.627808
-702.046877,1001,19.749391
-347.802501,1001,40.299803
-249.876488,1001,59.804902
-154.87731,1001,78.77427
-90.203536,1001,99.530751
-0.19287,3,99.680904
-0.193852,3,99.911981
-0.194565,3,100.125788
-0.189751,3,100.358577
-0.191423,3,100.578786
-0.198176,3,100.794225
-0.248798,4,101.032561
-200.211431,916,118.367769
-171.396114,1001,136.299553
-11.666566,108,138.557429
-0.14453,2,138.769923
-0.141424,2,138.981939
-0.141237,2,139.16987
-0.143506,2,139.349901
-0.145725,2,139.539119
-0.146363,2,139.722202
-0.146266,2,139.910286
-0.145529,2,140.093016
-0.145308,2,140.276863
-0.147357,2,140.463163
-0.148788,2,140.648757
-0.149138,2,140.833071
-0.151108,2,141.017274
-0.154325,2,141.208849
-0.156119,2,141.394804
-0.153809,2,141.587379
-0.15154,2,141.778753
-0.150157,2,141.966682
-0.148993,2,142.150687
-0.148185,2,142.335792
-0.147625,2,142.524033
-0.150921,2,142.702081
-0.154909,2,142.878344
-0.158395,2,143.064099
-0.161714,2,143.247427
-0.184135,3,143.446185
-0.200878,3,143.655276
-0.224335,3,143.855941
-0.236192,3,144.054794
-0.217542,3,144.251685
-0.211336,3,144.452919
-0.215987,3,144.657887
-0.214291,3,144.860135
-0.227896,3,145.058628
-0.235068,3,145.25698
-0.221252,3,145.456499
-0.226675,3,145.652835
-0.23755,3,145.852059
-0.236965,3,146.04421
-0.232959,3,146.240084
-0.240867,3,146.433829
-0.24287,3,146.642936
-0.238342,3,146.840918
-0.231755,3,147.044922
-0.24338,3,147.241476
-0.243767,3,147.438814
-0.233957,3,147.651419
-0.216819,3,147.852667
-0.223792,3,148.059347
-0.234346,3,148.251059
-0.234054,3,148.448736
-130.688139,942,167.255132
-0.198878,3,167.382704
-0.202629,3,167.508969
-0.190771,3,167.635799
-0.180771,3,167.838783
-0.182171,3,168.036883
-0.184999,3,168.228179
-0.179143,3,168.429773
-0.174275,3,168.628355
-0.174652,3,168.841347
-0.179252,3,169.043333
-0.181115,3,169.242003
-0.139492,2,169.348894
-0.135424,2,169.495273
-0.134537,2,169.637041
-0.138431,2,169.781301
-0.156339,2,169.930034
-0.203592,3,170.100902
-0.146965,2,170.248358
