#{"t_start": 1715162330.752691, "env_id": "PandaReachObjEnv-v0"}
r,l,t
-370.612187,1001,19.688992
-347.244485,1001,40.242405
-240.240597,1001,59.760383
-154.852108,1001,78.729768
-176.329541,1001,99.481912
-0.196793,3,99.636659
-0.19287,3,99.787867
-0.19379,3,100.018877
-0.194662,3,100.232745
-0.189751,3,100.465654
-0.191303,3,100.685742
-0.198176,3,100.901166
-0.248493,4,101.139685
-191.85718,915,118.388031
-8.460184,76,119.938267
-174.367591,1001,137.83597
-2.755777,32,138.536219
-0.146551,2,138.767886
-0.14263,2,138.983729
-0.140921,2,139.183486
-0.142222,2,139.363572
-0.144781,2,139.553764
-0.146101,2,139.7349
-0.146526,2,139.921242
-0.145937,2,140.104059
-0.145127,2,140.293985
-0.146078,2,140.477532
-0.148619,2,140.662914
-0.148536,2,140.846555
-0.149743,2,141.032629
-0.152955,2,141.220037
-0.155174,2,141.409736
-0.155143,2,141.604225
-0.152843,2,141.787158
-0.150474,2,141.982901
-0.14939,2,142.166212
-0.148918,2,142.349515
-0.147601,2,142.535079
-0.148791,2,142.720922
-0.153369,2,142.897341
-0.156878,2,143.078935
-0.160297,2,143.265452
-0.162754,2,143.444021
-0.189907,3,143.650234
-0.209335,3,143.852796
-0.237908,3,144.051311
-0.23387,3,144.251386
-0.213973,3,144.449248
-0.214688,3,144.656887
-0.215689,3,144.857975
-0.21864,3,145.057056
-0.234227,3,145.257592
-0.224338,3,145.45582
-0.228932,3,145.650848
-0.232334,3,145.85428
-0.239138,3,146.046512
-0.234475,3,146.24003
-0.236761,3,146.435296
-0.244143,3,146.641522
-0.243077,3,146.836152
-0.233495,3,147.045283
-0.233358,3,147.242305
-0.246349,3,147.436821
-0.240942,3,147.643534
-0.232939,3,147.845912
-0.215796,3,148.058639
-0.22795,3,148.253768
-0.234364,3,148.448878
-120.935518,955,167.851555
-0.181157,3,168.053928
-0.184293,3,168.249423
-0.181581,3,168.449621
-0.174895,3,168.6449
-0.172919,3,168.845447
-0.177422,3,169.056533
-0.180977,3,169.257599
-0.175415,3,169.456808
-0.135424,2,169.605301
-0.134537,2,169.743907
-0.138431,2,169.88824
-0.156339,2,170.041498
-0.20362,3,170.207941
-0.146965,2,170.355363
