#{"t_start": 1715091040.0794811, "env_id": "PandaReach-v3"}
r,l,t
-50.0,50,0.646288
-6.0,7,0.66546
-50.0,50,0.809111
-1.0,2,0.814663
-50.0,50,0.953226
-50.0,50,1.095269
-50.0,50,1.231943
-50.0,50,1.374913
-50.0,50,1.520741
-38.0,39,1.632198
-50.0,50,1.773702
-50.0,50,1.910048
-50.0,50,2.049751
-3.0,4,2.061393
-50.0,50,2.201973
-50.0,50,2.337583
-50.0,50,2.475353
-50.0,50,2.613348
-50.0,50,2.74957
-50.0,50,2.888632
-50.0,50,3.03029
-50.0,50,3.169204
-50.0,50,3.359633
-50.0,50,3.500823
-8.0,9,3.525001
-50.0,50,3.664629
-29.0,30,3.747277
-50.0,50,3.888494
-50.0,50,4.030133
-12.0,13,4.067415
-50.0,50,4.205317
-50.0,50,4.344373
-50.0,50,4.489048
-50.0,50,4.63422
-50.0,50,4.772565
-8.0,9,4.798289
-50.0,50,4.940874
-50.0,50,5.08203
-16.0,17,5.130576
-50.0,50,5.274087
-2.0,3,5.28252
-50.0,50,5.426941
-50.0,50,5.568402
-50.0,50,5.717755
-50.0,50,5.861421
-50.0,50,6.043255
-6.0,7,6.062882
-50.0,50,6.209923
-50.0,50,6.410716
-50.0,50,13.619612
-50.0,50,13.777777
-50.0,50,13.923445
-50.0,50,14.082479
-50.0,50,14.2294
0.0,1,14.233159
-50.0,50,14.385932
-50.0,50,14.553384
-5.0,6,14.570297
-50.0,50,14.72129
-50.0,50,14.862978
-50.0,50,15.007591
-50.0,50,15.152607
-50.0,50,15.301891
-50.0,50,15.453759
-5.0,6,15.470673
-50.0,50,15.617822
-50.0,50,15.763986
-50.0,50,15.909351
-50.0,50,16.051333
-50.0,50,16.202854
-21.0,22,16.267687
-50.0,50,16.472074
-16.0,17,16.546505
-50.0,50,16.714643
0.0,1,16.718821
-50.0,50,16.866363
-50.0,50,17.020469
-50.0,50,17.180782
-7.0,8,17.204822
-50.0,50,17.356522
-50.0,50,17.50329
-50.0,50,17.647393
-50.0,50,17.788788
-50.0,50,17.933114
-50.0,50,18.079687
-50.0,50,18.224615
-50.0,50,18.365912
-50.0,50,18.510628
-7.0,8,18.534431
-3.0,4,18.546488
-50.0,50,18.693379
-50.0,50,18.847177
-50.0,50,18.996602
-4.0,5,19.011133
-50.0,50,19.171829
-50.0,50,19.32311
-50.0,50,19.487847
-50.0,50,19.645277
-50.0,50,26.984903
-50.0,50,27.142907
-50.0,50,27.289657
-50.0,50,27.434154
-50.0,50,27.583025
-50.0,50,27.724303
-50.0,50,27.866749
-50.0,50,28.022627
-50.0,50,28.173692
-50.0,50,28.323014
-50.0,50,28.470048
-7.0,8,28.494801
-34.0,35,28.5993
-50.0,50,28.751317
-50.0,50,28.902155
-50.0,50,29.049024
-50.0,50,29.196388
-50.0,50,29.343723
-50.0,50,29.491129
-50.0,50,29.644307
-1.0,2,29.650152
-2.0,3,29.658586
-50.0,50,29.801544
-50.0,50,29.944777
-1.0,2,29.950376
-50.0,50,30.099748
-50.0,50,30.244798
-50.0,50,30.389603
-50.0,50,30.537324
-50.0,50,30.683936
-1.0,2,30.689303
-50.0,50,30.835923
-49.0,50,30.988832
-10.0,11,31.023108
-50.0,50,31.167554
-6.0,7,31.187014
-50.0,50,31.329723
-50.0,50,31.4692
-50.0,50,31.614714
-50.0,50,31.760439
-6.0,7,31.779429
-50.0,50,31.9205
-50.0,50,32.065698
-27.0,28,32.144323
-50.0,50,32.289023
-50.0,50,32.431534
-50.0,50,32.584531
-50.0,50,32.731179
-50.0,50,32.880007
-10.0,11,32.911343
-50.0,50,39.53922
-50.0,50,39.694126
-16.0,17,39.743036
-50.0,50,39.888851
-50.0,50,40.03097
-2.0,3,40.040045
0.0,1,40.043328
-50.0,50,40.186386
-50.0,50,40.329529
-4.0,5,40.343592
-50.0,50,40.485793
-50.0,50,40.629129
-50.0,50,40.782492
-50.0,50,40.924446
-50.0,50,41.071938
-50.0,50,41.217229
-50.0,50,41.363954
-50.0,50,41.502713
-50.0,50,41.648996
-50.0,50,41.793477
-50.0,50,41.94331
-50.0,50,42.083382
-7.0,8,42.105827
-50.0,50,42.243847
-50.0,50,42.381977
-50.0,50,42.522397
-50.0,50,42.660221
-50.0,50,42.80354
-50.0,50,42.943189
-50.0,50,43.087601
-50.0,50,43.229774
-3.0,4,43.241239
-50.0,50,43.38501
-18.0,19,43.436536
-50.0,50,43.582041
-5.0,6,43.599568
-50.0,50,43.746213
-50.0,50,43.887378
-50.0,50,44.029064
-50.0,50,44.173546
-17.0,18,44.221129
-50.0,50,44.364364
-50.0,50,44.502932
-50.0,50,44.64019
-50.0,50,44.786622
-50.0,50,44.927611
-50.0,50,45.069363
-50.0,50,45.213425
-50.0,50,51.779345
-11.0,12,51.817863
-4.0,5,51.8354
-50.0,50,51.983412
-50.0,50,52.120564
-50.0,50,52.262733
-50.0,50,52.402368
-50.0,50,52.542383
-50.0,50,52.683642
-50.0,50,52.825826
-50.0,50,52.96478
0.0,1,52.967359
-50.0,50,53.111522
-50.0,50,53.249372
-38.0,39,53.352958
-50.0,50,53.488106
-50.0,50,53.625197
-2.0,3,53.633445
-50.0,50,53.782426
-5.0,6,53.799249
-50.0,50,53.940806
-50.0,50,54.097348
-50.0,50,54.236555
-50.0,50,54.38098
-50.0,50,54.524611
-50.0,50,54.665951
-50.0,50,54.809582
-50.0,50,54.948734
-50.0,50,55.08975
-50.0,50,55.230298
0.0,1,55.234147
-50.0,50,55.373136
-50.0,50,55.512255
-50.0,50,55.652235
-50.0,50,55.792369
-50.0,50,55.934368
-50.0,50,56.075644
-2.0,3,56.083995
-50.0,50,56.227231
-50.0,50,56.366722
-2.0,3,56.373635
-50.0,50,56.516988
-50.0,50,56.662886
