#{"t_start": 1715091040.083146, "env_id": "PandaReach-v3"}
r,l,t
-17.0,18,0.546422
-50.0,50,0.696908
-50.0,50,0.836988
-50.0,50,0.97556
-50.0,50,1.118643
-49.0,50,1.25464
-50.0,50,1.398352
-4.0,5,1.412633
-50.0,50,1.559907
-6.0,7,1.580012
-50.0,50,1.719902
-50.0,50,1.857421
-50.0,50,1.996853
-50.0,50,2.137409
-50.0,50,2.274261
-4.0,5,2.288148
-50.0,50,2.425447
-50.0,50,2.562815
-50.0,50,2.698517
-50.0,50,2.839631
-14.0,15,2.879221
-50.0,50,3.021677
-50.0,50,3.160939
-50.0,50,3.297167
-50.0,50,3.491191
-50.0,50,3.630976
-50.0,50,3.769497
0.0,1,3.772885
-50.0,50,3.913324
-3.0,4,3.924741
-50.0,50,4.067723
-50.0,50,4.205898
-50.0,50,4.344189
-50.0,50,4.488563
-50.0,50,4.634134
-50.0,50,4.772843
-50.0,50,4.914777
-50.0,50,5.056106
-50.0,50,5.200231
-50.0,50,5.340509
-50.0,50,5.48722
-50.0,50,5.630781
-50.0,50,5.776458
-50.0,50,5.946561
-50.0,50,6.105662
-50.0,50,6.296412
-50.0,50,13.497411
-50.0,50,13.67137
-50.0,50,13.820026
-50.0,50,13.966694
-50.0,50,14.1255
-50.0,50,14.273088
-50.0,50,14.43571
-50.0,50,14.591123
-50.0,50,14.741222
-50.0,50,14.882177
-50.0,50,15.027671
-50.0,50,15.173681
-50.0,50,15.32457
-50.0,50,15.473828
-50.0,50,15.620563
-50.0,50,15.766732
-50.0,50,15.911648
-50.0,50,16.055284
-50.0,50,16.20617
-50.0,50,16.376218
-50.0,50,16.590802
-7.0,8,16.617889
-50.0,50,16.77704
-50.0,50,16.924858
-50.0,50,17.081276
-6.0,7,17.10461
-50.0,50,17.261662
-50.0,50,17.409116
-50.0,50,17.557224
-50.0,50,17.698237
-9.0,10,17.725398
-50.0,50,17.867746
-50.0,50,18.015592
-50.0,50,18.159292
-13.0,14,18.201827
-50.0,50,18.343003
-50.0,50,18.487517
-50.0,50,18.634874
-50.0,50,18.786437
-50.0,50,18.933731
-50.0,50,19.093093
-50.0,50,19.248203
-50.0,50,19.397925
-50.0,50,19.566725
-50.0,50,19.720077
-50.0,50,27.067053
-50.0,50,27.216313
-9.0,10,27.244421
-50.0,50,27.389489
-50.0,50,27.539357
-50.0,50,27.681845
-50.0,50,27.824549
-5.0,6,27.841006
-50.0,50,27.996077
-50.0,50,28.149156
-50.0,50,28.297447
-50.0,50,28.443301
-13.0,14,28.486006
-50.0,50,28.636583
-50.0,50,28.787666
-17.0,18,28.840942
-50.0,50,28.99085
-23.0,24,29.061291
-50.0,50,29.20789
-50.0,50,29.35533
-50.0,50,29.503027
-50.0,50,29.655032
-50.0,50,29.798436
-50.0,50,29.941613
-50.0,50,30.09053
-50.0,50,30.236125
-50.0,50,30.381073
-8.0,9,30.406156
-50.0,50,30.555549
-50.0,50,30.701017
-4.0,5,30.716286
-50.0,50,30.863382
-50.0,50,31.017388
-50.0,50,31.161729
-50.0,50,31.304836
-50.0,50,31.443406
0.0,1,31.446707
-27.0,28,31.528039
-50.0,50,31.675568
-50.0,50,31.816596
-50.0,50,31.957527
-50.0,50,32.101488
-50.0,50,32.245722
-50.0,50,32.389807
-6.0,7,32.409557
-50.0,50,32.562272
-50.0,50,32.706308
-39.0,40,32.825333
-12.0,13,32.863037
-10.0,11,32.897466
-50.0,50,39.523081
