#{"t_start": 1715091040.159668, "env_id": "PandaReach-v3"}
r,l,t
-16.0,17,0.466405
-23.0,24,0.540047
-11.0,12,0.575587
-50.0,50,0.71788
-10.0,11,0.748863
-50.0,50,0.88649
-1.0,2,0.892876
-50.0,50,1.034868
-50.0,50,1.171047
-50.0,50,1.315061
-50.0,50,1.459989
-50.0,50,1.602291
-50.0,50,1.739101
-50.0,50,1.881415
-50.0,50,2.021289
-50.0,50,2.159606
-50.0,50,2.297586
-50.0,50,2.433672
-50.0,50,2.57015
-50.0,50,2.708476
-50.0,50,2.849823
-2.0,3,2.858214
-50.0,50,2.999561
-50.0,50,3.135404
-50.0,50,3.327793
-50.0,50,3.469018
-37.0,38,3.573713
-50.0,50,3.713277
-50.0,50,3.853224
-50.0,50,3.997586
-50.0,50,4.134267
-50.0,50,4.273431
-3.0,4,4.285481
-50.0,50,4.428505
-50.0,50,4.575535
-4.0,5,4.589834
-50.0,50,4.725657
-50.0,50,4.869219
-26.0,27,4.942806
-50.0,50,5.08909
-50.0,50,5.229036
-50.0,50,5.37536
-50.0,50,5.519395
-50.0,50,5.666774
-50.0,50,5.81178
-50.0,50,5.991493
-50.0,50,6.137983
-50.0,50,6.339915
-50.0,50,13.549315
-50.0,50,13.705943
-50.0,50,13.854112
-2.0,3,13.862707
-50.0,50,14.021671
-50.0,50,14.167924
-23.0,24,14.241669
-50.0,50,14.40816
-50.0,50,14.561117
-23.0,24,14.63187
-50.0,50,14.774494
-9.0,10,14.801985
-50.0,50,14.947933
-50.0,50,15.093523
-50.0,50,15.244515
-50.0,50,15.393832
-50.0,50,15.541206
-50.0,50,15.686897
-50.0,50,15.832082
-50.0,50,15.975188
-50.0,50,16.125108
-50.0,50,16.295191
-50.0,50,16.510167
-50.0,50,16.672611
-50.0,50,16.820837
-50.0,50,16.975585
-50.0,50,17.13415
-50.0,50,17.286409
-50.0,50,17.430425
-50.0,50,17.575649
-50.0,50,17.718194
-50.0,50,17.86148
-50.0,50,18.007817
-50.0,50,18.153343
-50.0,50,18.295234
-32.0,33,18.390216
-50.0,50,18.537138
-50.0,50,18.688455
-50.0,50,18.835645
-50.0,50,18.992292
-10.0,11,19.028412
0.0,1,19.031401
-50.0,50,19.18488
-8.0,9,19.212925
-50.0,50,19.37608
-50.0,50,19.53316
-50.0,50,26.868662
-50.0,50,27.033372
-50.0,50,27.180718
-50.0,50,27.323256
-50.0,50,27.473902
-29.0,30,27.560023
-50.0,50,27.700294
-50.0,50,27.851038
-13.0,14,27.893139
-50.0,50,28.047315
-50.0,50,28.196738
-10.0,11,28.228845
-50.0,50,28.375283
-50.0,50,28.525081
-50.0,50,28.677871
-50.0,50,28.826747
-50.0,50,28.975789
-50.0,50,29.121689
-19.0,20,29.177774
-50.0,50,29.328307
-50.0,50,29.474147
-13.0,14,29.515885
-50.0,50,29.666711
-50.0,50,29.809418
-50.0,50,29.958061
-50.0,50,30.104937
-50.0,50,30.24967
-50.0,50,30.39292
-50.0,50,30.541347
-50.0,50,30.688743
-50.0,50,30.838504
-50.0,50,30.989737
-50.0,50,31.13146
-50.0,50,31.274185
-50.0,50,31.415387
-50.0,50,31.562903
-50.0,50,31.705061
-50.0,50,31.846783
-50.0,50,31.991673
-5.0,6,32.008401
-50.0,50,32.151518
-27.0,28,32.232487
-50.0,50,32.373153
-50.0,50,32.529442
-50.0,50,32.674957
-50.0,50,32.823289
-50.0,50,39.449038
-50.0,50,39.605816
-5.0,6,39.62298
-50.0,50,39.770271
-50.0,50,39.910332
-50.0,50,40.053541
-50.0,50,40.196491
-50.0,50,40.339334
-50.0,50,40.484198
-50.0,50,40.630198
-50.0,50,40.779536
-50.0,50,40.925319
-50.0,50,41.069418
-50.0,50,41.217394
-50.0,50,41.357726
-50.0,50,41.500124
-50.0,50,41.646336
-50.0,50,41.788513
-50.0,50,41.93897
-50.0,50,42.07642
-50.0,50,42.216911
-2.0,3,42.224831
-50.0,50,42.363972
-50.0,50,42.503077
-3.0,4,42.513449
-8.0,9,42.53815
-16.0,17,42.585808
-50.0,50,42.730347
-50.0,50,42.86824
-50.0,50,43.012928
-50.0,50,43.155053
-50.0,50,43.298306
