#{"t_start": 1715091040.097842, "env_id": "PandaReach-v3"}
r,l,t
-50.0,50,0.62798
-50.0,50,0.770169
-3.0,4,0.782223
-50.0,50,0.922719
-50.0,50,1.062576
-50.0,50,1.199072
-50.0,50,1.343074
-50.0,50,1.489362
-50.0,50,1.629966
-50.0,50,1.770941
-6.0,7,1.787982
-50.0,50,1.929866
-50.0,50,2.068014
-50.0,50,2.208841
-3.0,4,2.218833
-50.0,50,2.356526
-50.0,50,2.492382
-50.0,50,2.629477
-50.0,50,2.767513
-50.0,50,2.909208
-50.0,50,3.050299
-50.0,50,3.185035
-50.0,50,3.379181
-50.0,50,3.516985
-50.0,50,3.657281
-50.0,50,3.796782
-50.0,50,3.937547
0.0,1,3.940019
-50.0,50,4.084447
-50.0,50,4.222003
-50.0,50,4.361763
-50.0,50,4.504602
-50.0,50,4.651385
-50.0,50,4.787197
-50.0,50,4.931485
-50.0,50,5.072539
-50.0,50,5.215048
-50.0,50,5.358529
-50.0,50,5.502933
-50.0,50,5.648486
-50.0,50,5.795537
-7.0,8,5.817487
-15.0,16,5.86333
-50.0,50,6.044446
-36.0,37,6.153865
-50.0,50,6.353654
-50.0,50,13.555254
-1.0,2,13.562301
-50.0,50,13.726011
-50.0,50,13.873471
0.0,1,13.876182
-50.0,50,14.031351
-50.0,50,14.18305
-50.0,50,14.333764
-9.0,10,14.364438
-50.0,50,14.53153
-50.0,50,14.68211
-50.0,50,14.824942
-50.0,50,14.968457
-50.0,50,15.113968
-50.0,50,15.262255
-50.0,50,15.413538
-50.0,50,15.560533
-50.0,50,15.706272
-50.0,50,15.855721
-50.0,50,15.993711
-50.0,50,16.143858
-50.0,50,16.294582
-50.0,50,16.519636
-50.0,50,16.688842
-50.0,50,16.839646
-50.0,50,16.992754
-50.0,50,17.153505
-50.0,50,17.30445
-50.0,50,17.451832
-50.0,50,17.597255
-50.0,50,17.73835
-50.0,50,17.883007
-50.0,50,18.030193
-50.0,50,18.174816
-50.0,50,18.31486
-50.0,50,18.461432
-50.0,50,18.607588
-50.0,50,18.759304
-27.0,28,18.842075
-50.0,50,18.992762
-47.0,48,19.147018
-50.0,50,19.299279
-1.0,2,19.304761
-50.0,50,19.469284
-50.0,50,19.626901
-50.0,50,26.9672
-50.0,50,27.124614
-12.0,13,27.164518
-50.0,50,27.307672
-50.0,50,27.454285
-50.0,50,27.60118
-50.0,50,27.74278
-50.0,50,27.89005
-50.0,50,28.04263
-2.0,3,28.05259
-50.0,50,28.204599
-50.0,50,28.351761
-50.0,50,28.501705
-50.0,50,28.651378
-50.0,50,28.802018
-50.0,50,28.953272
-50.0,50,29.098473
-50.0,50,29.242336
-7.0,8,29.267706
-4.0,5,29.282306
-50.0,50,29.43187
-50.0,50,29.577811
-50.0,50,29.728263
-50.0,50,29.871107
-50.0,50,30.019853
-1.0,2,30.025762
-50.0,50,30.171683
-50.0,50,30.316448
-50.0,50,30.460836
-50.0,50,30.609851
-50.0,50,30.756486
-9.0,10,30.785815
-50.0,50,30.935904
-50.0,50,31.088502
-50.0,50,31.226775
-48.0,49,31.366706
-50.0,50,31.510626
-19.0,20,31.567224
-50.0,50,31.712938
-50.0,50,31.852951
-23.0,24,31.923118
-50.0,50,32.067562
-50.0,50,32.208591
0.0,1,32.211372
-50.0,50,32.356589
-50.0,50,32.509056
-50.0,50,32.65361
-50.0,50,32.801576
-50.0,50,39.420887
-3.0,4,39.432847
-50.0,50,39.598618
-50.0,50,39.742273
-50.0,50,39.887766
-22.0,23,39.950182
-50.0,50,40.095951
-11.0,12,40.130647
-50.0,50,40.27351
-50.0,50,40.416025
-50.0,50,40.559443
-50.0,50,40.709421
-50.0,50,40.854719
-50.0,50,41.000739
-19.0,20,41.05982
-50.0,50,41.205775
-24.0,25,41.278896
-50.0,50,41.419451
-50.0,50,41.562294
-50.0,50,41.708162
-17.0,18,41.759713
-50.0,50,41.910559
-50.0,50,42.050925
-50.0,50,42.187501
-50.0,50,42.328107
-50.0,50,42.465985
-50.0,50,42.605412
-50.0,50,42.750609
-50.0,50,42.890083
-50.0,50,43.028075
-50.0,50,43.175497
-50.0,50,43.317894
-50.0,50,43.458345
-50.0,50,43.606288
-50.0,50,43.750217
-16.0,17,43.796251
-50.0,50,43.94218
-50.0,50,44.083862
-50.0,50,44.223819
-50.0,50,44.364678
-50.0,50,44.503115
-50.0,50,44.64195
-50.0,50,44.787445
-50.0,50,44.929679
-50.0,50,45.070498
-50.0,50,45.213922
-50.0,50,51.783324
-1.0,2,51.789098
-26.0,27,51.876416
-50.0,50,52.0163
-50.0,50,52.154954
-50.0,50,52.298349
-50.0,50,52.439181
-50.0,50,52.577666
-50.0,50,52.720372
-50.0,50,52.8602
-50.0,50,53.003235
-50.0,50,53.14475
-50.0,50,53.277964
-50.0,50,53.412715
-50.0,50,53.54721
-50.0,50,53.688592
0.0,1,53.692299
-20.0,21,53.757662
-50.0,50,53.899288
-50.0,50,54.056838
-50.0,50,54.194241
-50.0,50,54.339556
-2.0,3,54.34905
-50.0,50,54.490079
-50.0,50,54.632965
-50.0,50,54.777698
-50.0,50,54.91585
-50.0,50,55.056735
-50.0,50,55.196811
-50.0,50,55.337601
-50.0,50,55.476174
-50.0,50,55.617486
-50.0,50,55.757391
-16.0,17,55.803815
-13.0,14,55.843738
-50.0,50,55.985907
-50.0,50,56.127712
-19.0,20,56.185896
-50.0,50,56.326466
-50.0,50,56.468312
-50.0,50,56.611877
-50.0,50,56.76755
-50.0,50,56.935257
-50.0,50,57.088543
-50.0,50,57.287966
-50.0,50,57.441635
-1.0,2,57.446484
-50.0,50,57.650207
-50.0,50,65.23987
-50.0,50,65.396079
