#{"t_start": 1715091040.067709, "env_id": "PandaReach-v3"}
r,l,t
-50.0,50,0.658645
-50.0,50,0.800506
-50.0,50,0.941046
-50.0,50,1.080471
-50.0,50,1.218625
-50.0,50,1.360967
-50.0,50,1.508696
-50.0,50,1.649249
-50.0,50,1.790156
-50.0,50,1.928718
-50.0,50,2.067162
-50.0,50,2.208032
-50.0,50,2.344373
0.0,1,2.346866
-50.0,50,2.483644
-50.0,50,2.6224
-50.0,50,2.758038
-50.0,50,2.897295
-50.0,50,3.039086
-50.0,50,3.178546
-14.0,15,3.218229
-50.0,50,3.411856
-50.0,50,3.550138
-50.0,50,3.690139
-50.0,50,3.829661
-50.0,50,3.970853
-50.0,50,4.114582
-6.0,7,4.133709
-24.0,25,4.201018
-50.0,50,4.339415
-50.0,50,4.483939
-50.0,50,4.628287
-50.0,50,4.769353
0.0,1,4.772025
-50.0,50,4.910892
-50.0,50,5.052373
-50.0,50,5.198498
0.0,1,5.201092
-23.0,24,5.268486
-50.0,50,5.410533
-50.0,50,5.555173
-9.0,10,5.583313
-50.0,50,5.733032
-50.0,50,5.876733
-50.0,50,6.057558
-50.0,50,6.202886
-50.0,50,6.404595
-50.0,50,13.609653
-50.0,50,13.771715
-50.0,50,13.917558
-50.0,50,14.075748
-33.0,34,14.181334
-50.0,50,14.327714
-50.0,50,14.495066
-50.0,50,14.646725
0.0,1,14.6498
-50.0,50,14.796572
-50.0,50,14.938595
-50.0,50,15.082885
-50.0,50,15.230403
-50.0,50,15.380119
-50.0,50,15.529336
-50.0,50,15.675437
-50.0,50,15.822358
0.0,1,15.825466
-50.0,50,15.968206
-7.0,8,15.989332
-50.0,50,16.13709
-50.0,50,16.288779
-50.0,50,16.497759
-50.0,50,16.678686
-50.0,50,16.834159
-50.0,50,16.986454
-35.0,36,17.100019
-50.0,50,17.256489
-29.0,30,17.347097
-50.0,50,17.494174
-50.0,50,17.639383
-50.0,50,17.781892
-8.0,9,17.806156
-17.0,18,17.85713
-50.0,50,18.003681
-3.0,4,18.015872
-50.0,50,18.159906
-50.0,50,18.303632
-50.0,50,18.448587
-50.0,50,18.590868
-50.0,50,18.743081
-50.0,50,18.892152
-50.0,50,19.046193
-50.0,50,19.205757
-50.0,50,19.35619
-50.0,50,19.521318
-50.0,50,19.678566
-50.0,50,27.020076
-50.0,50,27.177854
-50.0,50,27.320865
-7.0,8,27.343653
-50.0,50,27.489897
-50.0,50,27.636371
-20.0,21,27.696076
-50.0,50,27.839133
-50.0,50,27.991097
-50.0,50,28.145214
-50.0,50,28.294356
-50.0,50,28.441354
-50.0,50,28.590631
-50.0,50,28.740376
-50.0,50,28.890778
-50.0,50,29.042237
-50.0,50,29.187397
-50.0,50,29.333442
-50.0,50,29.481487
-50.0,50,29.636553
-50.0,50,29.777771
-50.0,50,29.92304
-4.0,5,29.937377
-50.0,50,30.085417
