#{"t_start": 1715091040.151823, "env_id": "PandaReach-v3"}
r,l,t
-50.0,50,0.575448
-50.0,50,0.717001
-50.0,50,0.858017
-50.0,50,0.996596
-31.0,32,1.0878
-50.0,50,1.224415
-13.0,14,1.266732
-50.0,50,1.413802
-10.0,11,1.443836
-50.0,50,1.585603
-50.0,50,1.724213
-50.0,50,1.864721
-50.0,50,2.004002
-50.0,50,2.144595
-50.0,50,2.280567
-50.0,50,2.418392
-50.0,50,2.554607
-50.0,50,2.691871
-50.0,50,2.831926
-50.0,50,2.974337
-50.0,50,3.110869
-50.0,50,3.302366
-50.0,50,3.441573
-50.0,50,3.582178
-50.0,50,3.722055
-50.0,50,3.862056
-50.0,50,4.004902
-50.0,50,4.14212
-50.0,50,4.282137
-50.0,50,4.426333
-50.0,50,4.571954
-50.0,50,4.709839
-50.0,50,4.851666
-50.0,50,4.99355
-50.0,50,5.137581
-50.0,50,5.277584
-34.0,35,5.379991
-50.0,50,5.523237
-50.0,50,5.672034
-50.0,50,5.817277
-4.0,5,5.848181
-50.0,50,6.012111
-17.0,18,6.065194
-50.0,50,6.265733
-50.0,50,13.46068
-50.0,50,13.63293
-50.0,50,13.780395
-50.0,50,13.929221
-50.0,50,14.089468
-50.0,50,14.235535
-50.0,50,14.401504
-50.0,50,14.554908
-50.0,50,14.701218
-50.0,50,14.843642
-50.0,50,14.98758
-50.0,50,15.134687
-50.0,50,15.284831
-50.0,50,15.433381
-50.0,50,15.579304
-50.0,50,15.727574
-50.0,50,15.869952
-50.0,50,16.014622
-50.0,50,16.167358
-50.0,50,16.357837
-50.0,50,16.555225
-50.0,50,16.713458
-50.0,50,16.861371
-50.0,50,17.019324
-50.0,50,17.176161
-50.0,50,17.325964
-50.0,50,17.472787
-50.0,50,17.616635
-38.0,39,17.726429
-4.0,5,17.740313
-50.0,50,17.886028
-50.0,50,18.030733
-4.0,5,18.044979
-50.0,50,18.188375
-50.0,50,18.333708
-50.0,50,18.477482
-50.0,50,18.624932
-50.0,50,18.778028
-50.0,50,18.927244
-6.0,7,18.950558
-50.0,50,19.110616
-50.0,50,19.26036
-50.0,50,19.426017
-50.0,50,19.584034
-50.0,50,26.92499
-50.0,50,27.082398
-50.0,50,27.225861
-1.0,2,27.231257
-12.0,13,27.268651
-50.0,50,27.416096
-50.0,50,27.561877
-50.0,50,27.703267
-50.0,50,27.851642
-50.0,50,28.005736
-50.0,50,28.157712
-1.0,2,28.16348
-11.0,12,28.198799
-50.0,50,28.345848
-50.0,50,28.495839
-50.0,50,28.644117
-50.0,50,28.795395
-50.0,50,28.945603
-50.0,50,29.092096
-50.0,50,29.238053
-50.0,50,29.386418
-50.0,50,29.533944
-50.0,50,29.68354
-50.0,50,29.828007
-50.0,50,29.975655
-1.0,2,29.981386
-50.0,50,30.127174
-5.0,6,30.143572
-5.0,6,30.161894
-50.0,50,30.305873
-50.0,50,30.450409
-20.0,21,30.514882
-50.0,50,30.662578
-50.0,50,30.808621
-50.0,50,30.962496
-11.0,12,30.997978
-50.0,50,31.14017
-50.0,50,31.282777
-50.0,50,31.422673
-2.0,3,31.432742
-50.0,50,31.580439
-50.0,50,31.721228
-50.0,50,31.86322
-50.0,50,32.008324
-50.0,50,32.149717
-50.0,50,32.294382
-50.0,50,32.434448
-50.0,50,32.590512
-50.0,50,32.739565
-50.0,50,39.359823
-50.0,50,39.522149
-50.0,50,39.667926
0.0,1,39.671672
-50.0,50,39.816573
-50.0,50,39.959489
-50.0,50,40.10366
-50.0,50,40.244653
-50.0,50,40.389324
-50.0,50,40.531219
-50.0,50,40.683547
-50.0,50,40.827505
-50.0,50,40.974575
-7.0,8,40.99685
-11.0,12,41.031679
-50.0,50,41.17829
-50.0,50,41.323942
-50.0,50,41.461109
-50.0,50,41.607673
-32.0,33,41.703473
-50.0,50,41.853865
-50.0,50,41.993824
-8.0,9,42.019713
-50.0,50,42.157909
-50.0,50,42.29683
-50.0,50,42.436567
-1.0,2,42.442844
