#{"t_start": 1715091040.098892, "env_id": "PandaReach-v3"}
r,l,t
-50.0,50,0.626777
-50.0,50,0.769242
-50.0,50,0.909964
-50.0,50,1.049549
-50.0,50,1.187921
-1.0,2,1.192739
-50.0,50,1.3358
-50.0,50,1.483288
-50.0,50,1.623903
-50.0,50,1.76484
-50.0,50,1.902867
-50.0,50,2.041973
-50.0,50,2.182382
-44.0,45,2.30465
-50.0,50,2.442477
-50.0,50,2.57943
-50.0,50,2.716234
-50.0,50,2.855649
-50.0,50,2.995837
-50.0,50,3.137228
-50.0,50,3.272506
-50.0,50,3.467703
-50.0,50,3.607937
-50.0,50,3.745223
-50.0,50,3.88544
-50.0,50,4.027488
-50.0,50,4.166766
-50.0,50,4.304518
-12.0,13,4.343345
-50.0,50,4.487097
-6.0,7,4.506613
-50.0,50,4.653251
-29.0,30,4.73541
-50.0,50,4.873497
-50.0,50,5.015003
-50.0,50,5.161027
-50.0,50,5.300918
-50.0,50,5.447991
-50.0,50,5.591341
-50.0,50,5.737937
-50.0,50,5.900226
-50.0,50,6.064657
-50.0,50,6.210834
-50.0,50,6.415829
-50.0,50,13.624792
-50.0,50,13.777657
-50.0,50,13.926547
-50.0,50,14.086087
-50.0,50,14.232176
-50.0,50,14.38542
-50.0,50,14.550895
-3.0,4,14.562938
-50.0,50,14.713291
-50.0,50,14.854765
-50.0,50,14.999447
-50.0,50,15.145625
-50.0,50,15.295517
-50.0,50,15.445163
-50.0,50,15.591765
-50.0,50,15.738549
-50.0,50,15.884205
-50.0,50,16.026448
-50.0,50,16.175373
-50.0,50,16.337723
-50.0,50,16.559076
-50.0,50,16.724016
-50.0,50,16.871055
-13.0,14,16.915082
-50.0,50,17.071948
-50.0,50,17.229091
-50.0,50,17.377865
-5.0,6,17.395637
-50.0,50,17.543847
-50.0,50,17.685121
-50.0,50,17.826028
-50.0,50,17.972584
-50.0,50,18.116824
-50.0,50,18.261119
-19.0,20,18.317777
-50.0,50,18.462443
-50.0,50,18.609769
-50.0,50,18.761895
-50.0,50,18.908394
-50.0,50,19.066317
-50.0,50,19.221091
-6.0,7,19.243203
-50.0,50,19.393122
-2.0,3,19.414484
-50.0,50,19.573112
-50.0,50,26.905981
-50.0,50,27.073782
-50.0,50,27.219307
0.0,1,27.222469
-50.0,50,27.367513
-50.0,50,27.517563
-50.0,50,27.659585
-50.0,50,27.801847
-50.0,50,27.953952
-50.0,50,28.108193
-13.0,14,28.148347
-50.0,50,28.29835
-50.0,50,28.445645
-50.0,50,28.595267
-19.0,20,28.656078
-50.0,50,28.806341
-50.0,50,28.957278
-50.0,50,29.103413
-50.0,50,29.248669
-50.0,50,29.398945
-50.0,50,29.544553
-50.0,50,29.69641
-50.0,50,29.838931
-50.0,50,29.982981
-2.0,3,29.993109
-50.0,50,30.140221
-50.0,50,30.28594
-50.0,50,30.42946
-50.0,50,30.57923
-50.0,50,30.726294
-50.0,50,30.872769
-50.0,50,31.026887
-50.0,50,31.170265
-50.0,50,31.312388
-3.0,4,31.324433
-50.0,50,31.464138
-14.0,15,31.509515
-50.0,50,31.655573
-3.0,4,31.667424
-50.0,50,31.808244
-50.0,50,31.951344
-50.0,50,32.093089
-50.0,50,32.23826
-2.0,3,32.247054
-5.0,6,32.263004
-50.0,50,32.406304
-50.0,50,32.559788
-50.0,50,32.705449
-50.0,50,32.854267
-7.0,8,32.877359
-50.0,50,39.502612
-50.0,50,39.660895
-50.0,50,39.806408
-50.0,50,39.946473
-50.0,50,40.091671
-50.0,50,40.234879
-50.0,50,40.376367
-4.0,5,40.391666
-50.0,50,40.536329
-18.0,19,40.589159
-50.0,50,40.743231
-50.0,50,40.885301
-50.0,50,41.032437
-50.0,50,41.17777
-5.0,6,41.194636
-9.0,10,41.223624
-50.0,50,41.371182
-50.0,50,41.508084
0.0,1,41.51068
-1.0,2,41.516292
-50.0,50,41.66336
-50.0,50,41.809494
-50.0,50,41.957145
-50.0,50,42.096935
-50.0,50,42.236806
-50.0,50,42.373549
-50.0,50,42.513332
-50.0,50,42.651641
-18.0,19,42.706742
-50.0,50,42.852321
-50.0,50,42.989583
-50.0,50,43.133479
