#{"t_start": 1715023247.238496, "env_id": "None"}
r,l,t
-121.055687,501,1.092908
-122.394146,501,1.722114
-119.201625,501,2.355051
-118.118308,501,2.981758
-118.175412,501,10.05827
-114.932388,501,10.665931
-109.857859,501,11.279844
-117.560741,501,11.893069
-114.998053,501,18.903438
-109.899629,501,19.503671
-111.547511,501,20.102493
-116.214504,501,20.701462
-114.771467,501,27.761778
-111.793218,501,28.352571
-111.254568,501,28.948421
-109.447623,501,29.56051
-111.14613,501,36.595644
-108.997271,501,37.226441
-111.063361,501,37.83163
-107.264267,501,38.461299
-111.498909,501,45.513742
-107.20536,501,46.132004
-106.001404,501,46.747855
-106.02982,501,47.371685
-106.929749,501,54.538464
-100.822651,501,55.149064
-100.328054,501,55.781335
-102.091046,501,56.399188
-104.338382,501,63.472592
-96.450564,501,64.092287
-95.663909,501,64.701077
-96.996895,501,65.31033
-98.331412,501,72.388463
-87.897324,501,73.027413
-88.847871,501,73.679071
-90.389353,501,74.339679
-91.007895,501,81.44704
-86.286845,501,82.080099
-88.303303,501,82.769941
-89.452122,501,83.520766
-83.503157,501,91.141168
-87.187624,501,91.816514
-79.051599,501,92.47471
-87.342598,501,93.142109
-82.761413,501,100.418607
-82.419378,501,101.070849
-79.288261,501,101.713145
-76.566729,501,102.360958
-83.923087,501,103.063865
-76.073731,501,110.223415
-76.683071,501,110.928265
-76.824146,501,111.629187
-80.721263,501,112.328216
-70.425947,501,119.484168
-75.120239,501,120.181862
-79.769518,501,120.946631
-75.69154,501,121.770135
-73.957517,501,129.14345
-50.899289,326,129.77854
-74.363681,501,130.829351
-72.157345,501,131.939662
-77.567941,501,139.702918
-71.559252,501,140.854872
-68.28471,501,142.097788
-71.068722,501,143.610625
-48.111872,307,144.421745
-71.377827,501,152.523661
-44.599265,281,153.458111
-45.402479,284,154.455997
-68.696345,501,156.096478
-71.442571,501,157.648657
-48.180493,296,165.230835
-43.246271,266,166.345053
-41.095046,252,167.30211
-43.3496,272,168.279832
-44.729455,284,169.334993
-45.247102,283,170.472828
-44.092926,279,171.524018
-43.591544,272,179.064613
-42.228669,267,180.100177
-42.400646,268,181.218111
-40.660859,256,182.18121
-40.72027,259,183.27774
-40.298261,254,184.306424
-43.204077,279,185.230809
-41.411946,261,186.337924
-40.246478,253,193.916491
-42.350042,266,195.093998
-41.109769,260,196.277974
-39.826577,248,197.38019
-41.307273,263,198.560252
-43.107273,276,199.755899
-38.606456,244,200.838373
-37.955184,236,201.845143
-39.613522,248,209.447368
-40.769335,251,210.633732
-37.521237,236,211.778185
-39.740015,247,212.897138
-38.374271,241,214.044593
-37.763024,234,215.164772
-39.36052,249,216.305915
-39.446379,248,217.512972
-40.009684,249,225.922913
-37.587086,232,227.029925
-39.482104,243,228.146339
-35.058625,223,229.223051
-36.911002,229,230.252106
-35.377813,220,231.344095
-38.060785,238,232.303209
-36.534395,231,233.381511
-37.60492,237,234.469055
-38.279414,238,242.800087
-36.898281,231,243.823441
-33.819605,211,244.884549
-35.392258,219,245.817337
-34.664946,217,246.88644
-35.800164,224,247.891059
-36.101979,227,248.900431
-36.19971,223,249.971851
-34.422098,213,250.898478
-34.952006,216,259.205743
-35.887825,222,260.276515
-34.258365,214,261.271887
-36.322909,228,262.346996
-33.258113,210,263.406287
-33.491345,209,264.334525
-35.098181,219,265.446048
-35.076581,217,266.438017
-34.045706,210,267.435945
-35.064188,215,268.437232
-35.762493,223,277.110586
-35.778564,222,278.187556
-35.034388,219,279.331161
-33.41221,210,280.320587
-33.168506,205,281.240081
-33.533418,207,282.290671
-35.175452,218,283.360266
-33.101594,208,284.420637
-34.588094,216,285.486651
-34.229882,211,293.672055
-32.013155,200,294.662481
-32.455374,203,295.736206
-35.877405,223,296.8046
-33.173682,206,297.859865
-33.231954,207,298.914902
-32.191751,200,299.958951
-33.239231,207,301.014009
-34.161381,214,302.073452
-33.496687,206,303.124539
-32.317488,201,311.28108
-31.989473,199,312.123758
-31.948715,198,313.165808
-31.859952,197,314.210687
-32.002117,198,315.182879
-31.990043,201,316.228297
-32.774563,205,317.208758
-31.791845,197,318.128011
-30.438602,189,319.160591
-30.930621,194,320.199942
-32.662533,202,321.187275
-31.625703,196,329.188663
-31.000044,194,330.160124
-30.11197,187,331.065133
-31.901364,199,332.109156
-29.748243,185,333.136172
-30.696757,190,334.104935
-31.180109,194,335.086276
-31.002466,192,336.131242
-31.466728,196,337.108856
-31.550627,196,338.158956
-31.066648,191,346.297241
-30.903677,193,347.349711
-29.279819,182,348.242213
-29.697377,188,349.276603
-30.864789,192,350.384326
-31.901832,198,351.359162
-29.878646,185,352.321917
-30.576155,191,353.357036
-29.570767,184,354.321651
-29.487045,183,355.364992
-29.829166,187,356.324612
-30.0044,186,364.520808
-29.733927,183,365.42088
-30.381702,189,366.471012
-30.12407,190,367.503396
-29.940811,185,368.462857
-29.54764,183,369.494675
-29.949845,185,370.523932
-29.212012,185,371.489973
-29.31045,183,372.519728
-29.542658,184,373.549589
-28.931326,179,374.57006
-29.93342,186,382.785248
-29.576318,183,383.750956
-29.41722,183,384.799781
-29.272958,182,385.764626
-29.379372,183,386.793181
-29.834002,188,387.760442
-29.486268,184,388.787542
-28.756667,180,389.743744
-28.874901,180,390.696411
-29.701078,187,391.799229
-30.464701,190,392.772828
-28.84585,180,400.799826
-28.971695,182,401.773295
-29.134545,182,402.733113
-28.617211,177,403.752176
-28.713069,179,404.77254
-28.824416,181,405.800479
-29.422824,183,406.757208
-29.2104,181,407.786574
-28.761369,179,408.809024
-29.055038,179,409.831055
-29.090986,181,410.860164
-28.679468,179,411.890367
-29.32709,183,420.154637
-28.463497,178,421.18104
-29.458107,186,422.208295
-29.033693,183,423.237473
-28.592415,177,424.265845
-29.026306,180,425.292784
-28.686319,178,426.319113
-28.635063,179,427.340387
-28.522118,179,428.315907
-28.491824,178,429.340319
-28.820373,179,430.364278
-28.800547,180,438.490023
-28.442922,177,439.519868
-28.942295,180,440.409637
-29.563504,184,441.374636
-28.985134,181,442.402069
-28.516455,179,443.427852
-28.330002,176,444.453789
-29.388012,183,445.503124
-28.52584,179,446.523722
-28.980102,180,447.548742
-28.909992,182,448.578175
-28.637627,181,449.607803
-28.587675,178,457.601706
-28.692435,179,458.624027
-28.705783,179,459.579447
-28.733804,179,460.532512
-28.761772,179,461.558889
-28.748027,179,462.581059
-28.16353,177,463.609465
-29.300002,185,464.636911
-28.503835,176,465.65715
-28.188971,176,466.684255
-28.147721,176,467.702665
-28.668775,178,475.89073
-28.399732,178,476.917148
-28.612427,177,477.940435
-28.52775,177,478.959162
-28.225102,174,479.982345
-28.36981,178,481.007009
-29.179846,180,482.046552
-28.915093,180,483.115405
-28.113146,175,484.168632
-28.392346,178,485.121873
-29.483751,182,486.153347
-28.971722,179,494.22628
-29.138433,182,495.263109
-29.055874,182,496.293314
-28.690576,181,497.318441
-29.273709,183,498.352218
-28.672167,179,499.380407
-28.329058,179,500.40462
-28.294971,176,501.420446
-28.455283,180,502.382575
-27.986115,175,503.331737
-30.188979,191,504.299891
-28.670706,180,505.345027
-28.050823,175,513.573198
-27.940617,174,514.529198
-30.561418,191,515.566923
-28.314052,176,516.518801
-29.011162,184,517.556837
-28.949431,182,518.449629
-28.20019,176,519.467121
-28.434929,177,520.493293
-28.03227,174,521.444057
-28.151035,176,522.466725
-28.290772,175,523.418809
-28.145316,175,531.612225
-28.268603,175,532.596594
-28.118167,175,533.549931
-28.16878,177,534.501127
-27.907763,174,535.412483
-28.40739,176,536.435695
-28.388885,178,537.391157
-28.238926,176,538.350182
-28.137322,176,539.368374
-28.546346,180,540.396635
-29.058819,180,541.435934
-28.544301,179,542.457236
-28.740515,178,550.577949
-28.130647,174,551.595974
-27.995834,174,552.613435
-28.908617,181,553.508783
-29.487089,183,554.539271
-28.04381,174,555.558772
-28.439208,176,556.57847
-28.187595,175,557.609422
-28.352797,178,558.629547
-28.268067,175,559.64663
-28.577661,181,560.672362
-28.750107,180,568.909802
-28.071302,175,569.978037
-28.518639,179,571.050417
-28.344338,177,572.069025
-28.652202,179,572.975118
-29.128293,183,573.937803
-27.910105,174,574.959295
-28.880413,182,575.985356
-28.318476,177,577.011582
-27.905719,174,578.023325
-27.938267,175,578.977881
-28.813264,181,580.010694
