#{"t_start": 1715023247.2662709, "env_id": "None"}
r,l,t
-121.083209,501,1.064942
-120.183116,501,1.693748
-122.574101,501,2.326714
-122.333582,501,2.943779
-117.373106,501,10.020263
-117.286672,501,10.638096
-119.933213,501,11.246554
-114.53028,501,11.855074
-114.281987,501,18.874365
-111.573828,501,19.465718
-108.342475,501,20.066477
-115.681963,501,20.663482
-116.120199,501,27.723758
-109.60516,501,28.316171
-111.122963,501,28.920511
-108.701732,501,29.532587
-108.142646,501,36.567743
-103.50161,501,37.198541
-109.049644,501,37.803707
-108.254594,501,38.433386
-107.728317,501,45.485902
-102.711247,501,46.104175
-108.580171,501,46.719948
-103.424658,501,47.343787
-106.928267,501,54.51055
-105.088509,501,55.127135
-99.137982,501,55.753441
-103.917455,501,56.371273
-102.68553,501,63.44467
-97.604234,501,64.064395
-100.552255,501,64.673166
-96.863497,501,65.282431
-92.147281,501,72.36017
-92.128292,501,72.999075
-86.096919,501,73.650796
-92.002946,501,74.310753
-90.658131,501,81.41839
-87.520145,501,82.05166
-85.205808,501,82.74147
-85.368249,501,83.492271
-90.142397,501,91.112679
-85.143114,501,91.788136
-81.80275,501,92.446318
-85.903519,501,93.113817
-87.877006,501,100.39033
-77.516056,501,101.042522
-82.209119,501,101.684814
-77.815606,501,102.332649
-76.577729,501,103.035485
-79.315517,501,110.195016
-78.774329,501,110.900255
-77.061548,501,111.600478
-78.332917,501,112.299864
-75.751293,501,119.455658
-76.097743,501,120.153528
-72.913775,501,120.918325
-76.220801,501,121.741789
-71.223765,501,129.115329
-73.276869,501,130.0758
-71.887829,501,131.13183
-77.015651,501,132.308365
-70.512215,501,139.99775
-72.382863,501,141.231361
-69.660163,501,142.604816
-49.715095,306,143.287897
-72.304796,501,151.360065
-47.19774,297,152.32604
-44.995749,285,153.257227
-43.559079,277,154.256626
-44.692233,281,155.243424
-70.66263,501,156.876597
-44.573664,290,157.807536
-43.23167,269,165.283747
-45.019114,283,166.416512
-46.592395,291,167.481359
-45.109878,282,168.607928
-44.285981,275,169.654935
-44.763552,281,170.720534
-43.066774,271,171.766831
-42.385563,266,179.298354
-40.443539,254,180.326569
-37.922839,238,181.268286
-42.882288,270,182.382381
-66.280774,501,184.359174
-43.587601,278,185.350471
-41.829279,261,186.390516
-40.283027,250,193.964008
-38.181379,240,194.9755
-42.448116,271,196.100707
-39.085378,245,197.271365
-39.209905,243,198.360045
-38.467454,244,199.382926
-39.405151,247,200.473365
-37.766437,237,201.544707
-39.857695,247,209.148239
-38.044322,239,210.2427
-37.327031,236,211.381867
-41.449298,258,212.590448
-37.494471,234,213.561063
-38.395702,238,214.71309
-38.334117,238,215.767897
-37.14796,236,216.958516
-36.498696,232,218.005243
-38.522836,242,226.401642
-35.985188,224,227.505825
-38.202457,237,228.603383
-37.897746,235,229.701708
-36.438093,228,230.806623
-38.679344,244,231.842189
-36.605113,229,232.988255
-36.49925,228,233.996824
-38.060668,240,242.252066
-36.638735,233,243.27955
-37.025518,228,244.367415
-37.356013,235,245.522184
-34.700568,218,246.524026
-35.924897,226,247.599594
-35.897605,224,248.603603
-34.616629,219,249.607762
-37.839686,235,250.625405
-35.626681,223,258.92276
-35.998128,225,260.014867
-36.655101,224,261.088791
-35.612703,222,262.159485
-36.252842,227,263.304741
-36.225461,227,264.388855
-35.208724,220,265.502716
-35.593074,221,266.501467
-35.500912,220,267.57743
-35.407635,221,268.653322
-35.082033,217,277.318539
-34.41433,214,278.459483
-32.838346,202,279.374733
-35.547114,219,280.374279
-35.011725,218,281.445381
-35.741269,223,282.583941
-33.443379,207,283.64229
-34.527441,214,284.708097
-33.579166,207,285.761124
-34.396313,213,293.883619
-32.931092,207,295.040109
-33.566694,210,296.030154
-34.510119,218,297.098221
-32.648696,202,298.143684
-32.793946,204,299.127261
-33.810945,212,300.184844
-32.354378,200,301.231734
-33.121133,206,302.279698
-34.094116,210,303.407835
-32.969108,205,311.430319
-31.845615,198,312.33856
-31.692557,196,313.378884
-31.419886,194,314.284367
-32.850401,205,315.264559
-32.229094,201,316.310751
-33.292325,207,317.498362
-30.710103,192,318.343508
-33.234843,207,319.533371
-33.490879,205,320.586372
-31.221093,193,328.57902
-31.178165,193,329.489505
-32.822129,205,330.478836
-31.570761,197,331.527417
-33.042484,205,332.645336
-30.38584,188,333.542954
-31.853619,197,334.589879
-30.184319,187,335.632154
-31.733403,196,336.542315
-30.542531,189,337.58277
-31.352904,194,338.624583
-30.375333,189,346.775852
-29.9599,185,347.740464
-29.750626,186,348.703337
-29.637071,186,349.738327
-30.565095,189,350.706232
-30.335094,186,351.665067
-29.935868,185,352.697638
-29.641215,185,353.656614
-31.855782,198,354.704591
-29.484577,185,355.68211
-29.960785,186,356.70798
-30.179732,187,364.837973
-29.240141,181,365.877181
-29.919269,187,366.919141
-31.188917,195,367.889662
-29.978534,186,368.920937
-29.456956,183,369.952003
-29.796342,185,370.912793
-30.956507,190,371.951298
-29.511648,182,372.980793
-30.241012,190,374.014988
-29.952638,185,375.046432
-29.042852,180,383.253645
-29.453744,183,384.218389
-30.274134,186,385.206847
-30.425415,191,386.245218
-30.336968,186,387.348149
-29.182754,184,388.308804
-29.346857,183,389.331144
-29.007262,179,390.288805
-29.471349,186,391.317351
-29.152048,182,392.282771
-28.934753,181,393.242085
-28.794051,179,401.346935
-30.251665,186,402.314483
-30.241802,185,403.345104
-28.667177,179,404.296157
-29.056577,182,405.31855
-29.768038,184,406.419978
-29.436816,185,407.448281
-28.636665,178,408.473458
-28.998394,180,409.428031
-29.6119,188,410.533387
-30.37562,187,411.571282
-29.064415,182,419.833657
-28.631456,177,420.860576
-28.969276,182,421.886058
-28.221184,176,422.837736
-29.056377,182,423.869193
-28.790063,180,424.899797
-28.467385,177,425.923515
-28.834864,180,426.947874
-28.868018,182,427.92528
-28.928066,182,428.952999
-28.328289,176,429.975703
-28.678169,178,430.924804
-28.89325,178,439.12566
-28.463303,178,440.016759
-28.611456,178,440.973993
-29.381012,183,442.003522
-28.317798,175,442.956241
-29.054504,178,443.917267
-29.292269,183,445.10325
-28.48946,180,446.123355
-29.465452,183,447.151492
-28.078648,176,448.173594
-28.60657,178,449.13276
-28.855832,179,457.128635
-28.60431,179,458.15351
-29.638741,184,459.181452
-28.607248,180,460.13744
-29.332192,184,461.167081
-28.453289,180,462.19007
-28.673995,179,463.221403
-28.757148,179,464.242159
-28.971094,179,465.263504
-28.680604,178,466.290408
-29.125033,181,467.317843
-28.899105,182,475.501693
-28.577931,178,476.536404
-29.180267,180,477.559326
-28.796192,180,478.585271
-28.294989,176,479.609319
-28.657327,178,480.636465
-29.274097,181,481.677604
-28.409318,176,482.715315
-28.526911,177,483.729571
-29.937099,188,484.760491
-28.121843,176,485.712882
-28.208027,175,486.738016
-28.176014,176,494.816427
-28.426952,179,495.842339
-28.952226,183,496.869782
-30.344055,193,497.982251
-28.765452,181,499.080976
-28.869203,182,500.109074
-28.73288,177,501.128106
-28.354051,177,502.084671
-28.339316,176,503.038571
-28.936876,181,503.99491
-28.365721,176,504.968644
-29.711285,187,513.27094
-28.476055,177,514.232093
-28.241978,175,515.187213
-27.930743,175,516.203675
-28.73381,181,517.170073
-28.495635,178,518.194536
-28.333457,178,519.21682
-28.022327,175,520.168067
-28.784362,178,521.059084
-28.439109,177,522.08254
-28.340777,176,523.101712
-28.2229,177,524.05876
-29.615597,184,532.266847
-28.302685,176,533.248266
-28.508044,177,534.201159
-27.816831,173,535.042123
-28.051168,174,535.992487
-28.759744,179,536.949568
-29.543257,182,537.983875
-27.949105,173,538.933039
-28.548322,180,539.958246
-29.514725,186,541.064794
-28.74148,180,542.165259
-27.791828,173,550.279231
-28.451761,176,551.299645
-28.446293,177,552.321601
-28.094599,175,553.206498
-30.086412,187,554.244916
-29.208888,183,555.34301
-28.469398,179,556.36607
-27.803247,172,557.320208
-28.427198,178,558.347363
-28.198565,175,559.363598
-28.179292,177,560.385066
-28.367416,176,561.405147
-28.414261,176,569.676456
-28.773176,179,570.757953
-29.022912,180,571.781551
-28.260933,176,572.747346
-28.25965,177,573.636687
-28.280475,175,574.656974
-28.399033,176,575.682797
-28.277099,176,576.70245
-28.057135,175,577.721728
-28.084648,175,578.672882
-28.260088,175,579.628547
