#{"t_start": 1715023247.124403, "env_id": "None"}
r,l,t
-121.757172,501,1.206872
-121.446997,501,1.835681
-125.411942,501,2.468614
-119.627251,501,3.0909
-113.279973,501,10.172363
-122.31601,501,10.780368
-118.212717,501,11.38848
-121.959418,501,11.996981
-110.353774,501,19.016223
-115.898449,501,19.607615
-115.167149,501,20.208365
-114.142208,501,20.805408
-111.120701,501,27.865671
-114.428483,501,28.458077
-106.236829,501,29.062411
-111.509007,501,29.674518
-109.58655,501,36.709644
-106.931944,501,37.340456
-106.81179,501,37.945609
-113.026671,501,38.575289
-106.553869,501,45.627919
-106.739351,501,46.246148
-103.766352,501,46.861849
-113.324309,501,47.485683
-106.18192,501,54.652457
-102.113201,501,55.26312
-101.476474,501,55.895551
-98.676871,501,56.513186
-101.249568,501,63.58658
-95.101291,501,64.206302
-94.103201,501,64.815066
-97.84217,501,65.424337
-90.746892,501,72.502115
-92.390519,501,73.140973
-87.282835,501,73.792662
-90.823918,501,74.452716
-90.215952,501,81.560306
-81.35626,501,82.193564
-82.667073,501,82.883362
-87.291777,501,83.634194
-89.576067,501,91.254629
-83.136481,501,91.930059
-82.674852,501,92.588267
-82.199904,501,93.255721
-86.629331,501,100.532237
-74.619793,501,101.184416
-81.186715,501,101.826722
-80.308004,501,102.474544
-77.44072,501,103.1774
-76.838547,501,110.336934
-75.147151,501,111.042196
-77.136429,501,111.742391
-77.247114,501,112.441781
-71.61396,501,119.597569
-72.896926,501,120.295422
-74.214229,501,121.060214
-76.689687,501,121.883683
-74.151398,501,129.257222
-74.481995,501,130.217679
-72.26024,501,131.273723
-51.842832,320,131.904417
-75.342204,501,139.670629
-74.48155,501,140.825094
-72.517272,501,142.068081
-74.524715,501,143.583608
-45.271311,287,144.369019
-47.406921,296,151.835758
-46.670238,294,152.773465
-69.614605,501,154.499893
-44.095589,277,155.483201
-46.562336,290,156.415582
-71.875288,501,164.464149
-44.73142,280,165.603393
-42.389987,266,166.649908
-44.100514,269,167.6233
-41.184079,255,168.651994
-45.415699,285,169.710686
-43.609791,273,170.698037
-43.054911,269,171.74122
-43.772033,277,179.285127
-41.233168,259,180.312694
-44.040473,274,181.574316
-42.301742,271,182.688234
-40.226075,255,183.715164
-44.227864,283,184.845532
-41.851254,259,185.746116
-44.931632,286,186.881525
-39.442914,248,194.449145
-42.57525,266,195.562279
-38.991858,245,196.660774
-39.379584,244,197.827985
-38.331681,237,198.84773
-40.301847,256,199.947931
-39.419445,248,201.036116
-40.662621,255,202.128477
-40.492986,256,209.746148
-39.03844,244,210.919376
-39.569059,248,212.091969
-38.001187,235,213.186817
-36.84439,231,214.325628
-39.021778,244,215.454215
-36.127269,225,216.498313
-36.5129,230,217.544097
-37.724632,235,225.865615
-38.130312,239,226.987376
-36.33005,228,228.086225
-38.599415,242,229.184987
-37.364532,231,230.284375
-36.775602,228,231.386342
-39.007618,243,232.48714
-37.464894,233,233.567934
-37.000839,236,234.655633
-35.595496,222,242.830208
-36.843814,227,243.848817
-35.994192,226,244.928676
-35.93956,224,246.00352
-34.665925,218,247.0732
-36.613469,226,248.079296
-36.31577,226,249.158527
-35.86381,224,250.229044
-35.745863,223,251.168057
-35.662514,222,259.482876
-34.643016,214,260.475831
-35.14503,218,261.542457
-33.790896,212,262.530877
-34.681146,218,263.600166
-37.009844,227,264.728035
-36.038242,224,265.800228
-34.657384,216,266.795053
-35.066613,221,267.941169
-35.799205,222,268.949008
-32.121721,200,277.391607
-33.439916,208,278.456809
-33.813307,211,279.586095
-35.240512,217,280.516182
-33.638734,208,281.507556
-34.038818,214,282.566098
-33.654733,209,283.559342
-35.471676,219,284.631239
-33.354054,205,285.682985
-35.194878,223,293.952742
-32.638034,204,295.038039
-32.486602,202,296.017874
-32.496707,201,296.994692
-33.259122,206,298.048705
-31.896707,199,298.892617
-32.168683,201,300.003633
-33.440164,207,301.059117
-33.340091,207,302.110514
-33.005973,205,303.159408
-32.74982,202,311.310816
-31.327259,192,312.082929
-33.436183,207,313.205559
-31.898418,199,314.25238
-32.24218,199,315.226204
-31.751799,196,316.19776
-31.42789,195,317.097386
-30.49098,190,318.074812
-31.059063,194,319.116823
-32.285768,200,320.161767
-31.662862,196,321.142317
-31.653841,195,329.209338
-32.720326,202,330.19178
-30.847331,191,331.100648
-29.906589,186,332.13015
-30.975806,193,333.166193
-31.519033,195,334.140056
