#{"t_start": 1715023247.270041, "env_id": "None"}
r,l,t
-117.142876,501,1.061159
-124.088899,501,1.68996
-128.44593,501,2.322919
-121.388355,501,2.939996
-111.015363,501,10.016483
-117.568042,501,10.634322
-113.160171,501,11.243225
-120.337238,501,11.851307
-116.490617,501,18.870535
-112.372478,501,19.461935
-112.434707,501,20.062678
-110.163319,501,20.659706
-109.511523,501,27.71998
-103.723788,501,28.312393
-112.49951,501,28.916726
-113.829002,501,29.528817
-109.048062,501,36.56397
-107.026472,501,37.19476
-111.131645,501,37.799923
-106.833144,501,38.429596
-107.021037,501,45.482127
-106.507759,501,46.100358
-106.790183,501,46.716178
-100.897689,501,47.339999
-102.968374,501,54.506761
-102.604621,501,55.11746
-103.587802,501,55.74967
-106.506316,501,56.367503
-98.015436,501,63.440899
-89.533407,501,64.060619
-94.955305,501,64.669387
-102.330042,501,65.289836
-96.439699,501,72.356392
-90.251882,501,72.995289
-89.249341,501,73.646977
-89.05118,501,74.306987
-93.865094,501,81.414643
-83.444644,501,82.04785
-88.966719,501,82.737685
-85.257604,501,83.488501
-87.323583,501,91.108923
-81.63723,501,91.784368
-83.030491,501,92.442438
-83.987915,501,93.110026
-79.908606,501,100.386536
-78.886715,501,101.038728
-78.925685,501,101.681025
-78.004495,501,102.328864
-61.584597,392,102.845315
-78.453511,501,110.000652
-77.803954,501,110.711904
-73.77183,501,111.41315
-79.755337,501,112.108422
-78.149939,501,119.260432
-78.037396,501,119.966607
-73.771814,501,120.732557
-71.476581,501,121.553994
-75.768642,501,128.92656
-73.761816,501,129.890271
-51.466288,324,130.526188
-71.156647,501,131.578062
-48.680251,310,132.408881
-71.280136,501,140.092467
-71.099226,501,141.328285
-47.936152,308,142.140384
-49.121945,308,142.899519
-49.9403,319,143.787532
-49.308486,305,151.088764
-48.685583,302,152.144748
-69.711446,501,153.800374
-43.993787,279,154.718564
-49.699808,312,155.882516
-45.049734,284,156.794025
-43.774846,273,157.700046
-42.580381,266,165.112471
-41.076755,255,166.146339
-41.396537,260,167.180537
-45.719591,281,168.167092
-43.847345,274,169.212807
-43.545406,268,170.26604
-68.321889,501,178.654772
-41.698488,261,179.698898
-40.479929,253,180.729089
-41.33691,258,181.82998
-45.406626,289,182.959413
-43.329742,274,184.077522
-64.912288,501,185.925827
-41.127965,260,193.517923
-39.794962,252,194.671568
-39.265175,252,195.713213
-37.35755,232,196.734267
-40.414323,251,197.896594
-37.849756,235,198.9151
-37.061693,235,199.989454
-39.365554,248,201.01053
-37.923281,237,202.084625
-37.357642,233,209.676851
-37.009916,230,210.698261
-39.377892,242,211.864961
-37.665561,235,212.958774
-37.423406,229,214.092834
-38.907937,245,215.222932
-36.237617,225,216.198418
-37.381026,232,217.316348
-39.713708,249,225.794045
-38.486528,238,226.911613
-39.013973,243,228.028158
-37.891215,235,229.118873
-37.784213,239,230.297224
-35.909833,223,231.394561
-38.226417,238,232.418684
-36.611812,231,233.496902
-36.542277,230,234.509923
-37.654769,235,242.767946
-36.857573,233,243.862223
-37.688293,234,244.949185
-33.964172,211,245.940952
-34.500878,214,247.007822
-34.960803,221,248.00707
-36.267333,227,249.087846
-35.323958,223,250.157682
-38.158035,240,251.185859
-34.203406,213,259.489666
-35.646828,222,260.489752
-35.447318,222,261.493659
-35.71555,223,262.6325
-35.482453,219,263.706967
-34.867225,219,264.754745
-34.764876,216,265.813843
-34.770597,217,266.811765
-35.599739,222,267.891117
-33.981994,214,268.888893
-32.546145,201,277.469639
-33.406954,207,278.533222
-34.548648,214,279.529617
-33.748849,211,280.453231
-33.34793,207,281.511027
-34.021665,210,282.496454
-33.639027,211,283.560211
-34.950367,221,284.634754
-33.482067,207,285.689075
-34.674699,217,293.951875
-32.683072,203,294.967499
-32.150763,202,295.946642
-32.475283,201,296.991426
-34.470722,216,298.056841
-33.757913,208,299.045229
-32.33642,201,300.091059
-33.649261,211,301.150306
-34.076067,213,302.20729
-33.185269,206,303.261017
-32.385882,204,311.351369
-32.809041,203,312.265777
-31.179868,195,313.30483
-31.771357,196,314.280584
-34.139681,209,315.333324
-33.05994,203,316.45062
-31.925144,199,317.423671
-31.84139,198,318.480216
-31.001274,194,319.381621
-32.52079,204,320.502769
-32.601606,203,328.575257
-31.146091,195,329.556014
-33.0485,203,330.475048
-30.73992,193,331.450905
-30.157882,187,332.480536
-32.227582,200,333.459402
-30.258728,188,334.4968
-30.225922,186,335.398416
-31.232716,195,336.446164
-31.348503,194,337.42359
-31.326378,195,338.467458
-29.171383,182,346.609334
-30.655646,192,347.651021
-30.174192,188,348.616616
-30.811634,190,349.655297
-31.15377,194,350.628703
-30.523134,195,351.734972
-30.123935,188,352.770682
-30.661952,189,353.736637
-30.079646,187,354.769717
-30.621098,193,355.757125
-29.953532,186,356.783435
-30.732701,193,364.987986
-29.68036,186,366.034093
-30.963384,191,367.07922
-30.536076,189,368.110213
-29.81738,187,369.143668
-29.034491,182,370.172312
-29.909152,187,371.135332
-29.370728,182,372.098018
-29.568515,183,373.128379
-30.170651,186,374.156677
-29.477312,182,375.184779
-30.285325,188,383.403823
-28.698332,179,384.293888
-30.112492,188,385.422017
-29.024173,180,386.309992
-30.023264,190,387.417376
-28.977356,181,388.375196
-29.335486,182,389.396098
-29.845989,186,390.430269
-29.812322,187,391.462404
-30.036553,190,392.502922
-29.697836,186,393.534385
-29.233654,181,401.577289
-29.78972,183,402.539303
-29.219907,183,403.565359
-29.345565,183,404.590101
-29.118396,182,405.616831
-29.528178,183,406.577938
-29.941253,188,407.610795
-29.233219,184,408.640763
-29.103273,182,409.667234
-28.325883,177,410.690777
-30.495719,193,411.735788
-28.385739,175,419.992025
-28.996732,181,421.02255
-28.492009,176,422.040527
-28.397294,177,422.99242
-29.422879,182,424.024213
-29.095768,180,425.05409
-29.263386,184,426.087518
-28.956037,178,427.108381
-29.790003,189,428.093044
-28.851221,180,429.120757
-28.221682,176,430.142895
-28.695376,180,438.263143
-29.534337,182,439.301296
-29.16368,184,440.264997
-28.717579,181,441.227701
-28.357437,177,442.248208
