#{"t_start": 1715023247.288645, "env_id": "None"}
r,l,t
-118.456759,501,1.042604
-122.578165,501,1.671398
-116.748228,501,2.304352
-123.621301,501,2.921411
-115.956493,501,9.997899
-107.362691,501,10.615743
-116.370435,501,11.224171
-110.795575,501,11.832704
-118.785939,501,18.852012
-114.349251,501,19.443341
-110.883318,501,20.044093
-115.380147,501,20.641116
-114.695888,501,27.701385
-111.902182,501,28.293799
-113.784784,501,28.898167
-110.319539,501,29.51024
-108.065036,501,36.545393
-107.240115,501,37.176175
-103.953216,501,37.781346
-104.220144,501,38.41103
-107.779774,501,45.463546
-111.522528,501,46.081787
-112.172743,501,46.697605
-99.661708,501,47.321431
-104.362241,501,54.488216
-101.691951,501,55.098906
-100.37236,501,55.731088
-100.910492,501,56.348928
-94.916473,501,63.422317
-96.750389,501,64.042025
-96.48718,501,64.650824
-94.054872,501,65.26007
-92.674061,501,72.337812
-91.543566,501,72.976705
-92.97282,501,73.628386
-88.822137,501,74.288409
-92.833581,501,81.396057
-83.400664,501,82.029272
-85.768521,501,82.719101
-90.236401,501,83.469944
-89.398923,501,91.090366
-86.118893,501,91.765773
-80.395546,501,92.423866
-79.537011,501,93.091436
-79.935893,501,100.367975
-76.529623,501,101.020137
-80.291823,501,101.662457
-78.265754,501,102.310287
-77.751784,501,103.013141
-80.172668,501,110.172639
-74.021794,501,110.877914
-78.382177,501,111.578117
-79.12048,501,112.277496
-73.687766,501,119.433309
-75.821319,501,120.131154
-71.437716,501,120.895948
-73.699192,501,121.71942
-71.027608,501,129.092951
-74.965448,501,130.053419
-71.58695,501,131.109455
-70.503281,501,132.285977
-75.87208,501,139.97537
-70.895543,501,141.20897
-70.418902,501,142.582423
-47.497336,303,143.192439
-70.460607,501,151.259766
-42.863206,270,152.204167
-45.366749,286,153.135535
-70.033682,501,154.78556
-45.272737,288,155.785588
-44.922414,277,156.690611
-71.727305,501,164.750457
-45.453085,289,165.969034
-43.386922,276,167.090124
-42.582976,267,168.063279
-43.274573,268,169.101796
-47.764476,304,170.329432
-45.363139,284,171.317814
-43.197174,272,178.854254
-45.010373,285,180.049791
-42.2477,258,181.087315
-42.104572,270,182.203897
-41.56728,260,183.302824
-42.27458,267,184.414864
-41.637868,262,185.250738
-44.528593,279,186.447313
-41.115124,257,194.026677
-43.486025,279,195.28993
-42.569373,262,196.406717
-39.512134,248,197.573687
-38.781376,241,198.597774
-38.888074,239,199.612719
-41.004492,255,200.708696
-40.348838,253,201.871084
-38.937729,244,209.469568
-36.690035,230,210.494425
-36.946833,231,211.631586
-39.073943,242,212.744026
-37.703048,235,213.880061
-39.133735,245,215.017127
-38.713938,245,216.083381
-38.270401,242,217.212347
-37.322471,232,225.593365
-38.561416,237,226.718509
-37.272545,238,227.832318
-35.630981,225,228.912927
-36.461531,228,230.008105
-39.345769,245,231.128809
-37.859777,239,232.156143
-38.47518,240,233.246583
-38.530042,239,234.336909
-36.85764,230,242.5896
-35.838053,226,243.602767
-35.875036,227,244.685861
-35.688694,219,245.688269
-35.709169,222,246.761794
-37.93957,234,247.915036
-36.122392,223,248.922098
-36.567169,224,249.993524
-37.829584,238,251.085911
-35.407155,219,259.396112
-35.839606,224,260.401186
-36.519359,225,261.544086
-34.577066,215,262.536539
-34.965057,219,263.611562
-34.463592,216,264.656862
-33.222376,207,265.705776
-34.950505,220,266.706036
-34.107838,212,267.705303
-34.009457,211,268.700321
-35.451395,218,277.368267
-34.153164,208,278.365455
-35.725197,226,279.580543
-35.138113,218,280.512283
-33.868454,210,281.573467
-35.395465,219,282.637881
-35.962509,226,283.721489
-33.067497,207,284.777693
-35.675628,221,285.846711
-33.610473,210,294.034282
-32.586575,203,295.11598
-32.6043,205,296.099238
-32.607298,201,297.148932
-33.475081,207,298.20057
-33.156458,206,299.187741
-32.579495,202,300.232805
-33.550247,208,301.2902
-33.043022,206,302.404011
-32.31378,199,303.315693
-32.453783,200,311.332798
-31.182726,193,312.167925
-32.448169,202,313.214864
-33.903254,209,314.341478
-31.959897,201,315.385289
-32.071909,198,316.359344
-31.958632,198,317.332652
-31.633297,197,318.252268
-32.200789,201,319.434217
-31.199877,195,320.407506
-32.881846,201,328.476626
-32.967885,204,329.537421
-31.901914,197,330.380334
-30.570851,190,331.353953
-31.586645,194,332.391781
-31.280169,195,333.365507
-30.635512,192,334.404707
-31.353661,196,335.456056
-30.230079,188,336.427577
-32.197032,201,337.481181
-30.702016,194,338.524122
-31.177071,195,346.681469
-30.25933,188,347.718113
-30.368618,189,348.752241
-30.315387,192,349.863092
-30.624924,190,350.762514
-30.290257,187,351.791664
-30.075476,187,352.825917
-30.722116,190,353.793029
-30.635786,190,354.846877
-30.055145,187,355.810192
-30.163788,187,356.837389
-29.527929,185,364.896917
-29.1431,182,365.936635
-30.31237,189,366.98039
-29.974206,186,367.941708
-30.330471,189,368.975692
-29.607468,183,370.007322
-30.930177,191,370.97453
-30.037028,184,372.006177
-30.165617,188,373.178419
-29.943309,186,374.207755
-29.490762,182,375.235034
-29.897152,187,383.385265
-29.351544,181,384.345459
-29.329192,182,385.261908
-29.604815,186,386.430154
-29.426167,183,387.325775
-29.520435,182,388.215108
-29.095675,181,389.169048
-29.072478,182,390.196963
-30.248649,186,391.224525
-29.925899,185,392.331161
-29.465601,183,393.292908
-29.347175,179,401.396685
-29.630921,182,402.292111
-28.684216,178,403.246162
-29.941723,187,404.342811
-29.120247,183,405.366413
-28.444191,177,406.32367
-28.646585,177,407.20634
-29.532791,187,408.377296
-28.82091,179,409.264143
-29.169547,180,410.292381
-29.354579,183,411.392197
-28.750953,180,419.580051
-28.661488,178,420.614055
-28.963224,183,421.639225
-28.913731,181,422.663492
-28.134967,175,423.687185
-28.621616,176,424.7156
-29.106511,180,425.742204
-29.623475,185,426.771741
-29.061086,181,427.746741
-29.157874,179,428.772278
-28.547897,177,429.7943
-29.039945,183,430.750797
-28.148788,175,438.94642
-29.936776,190,439.921334
-28.418696,177,440.809374
-28.504744,176,441.830572
-30.179411,191,443.006275
-28.791752,178,444.034949
-28.434215,177,445.009165
-28.511405,179,445.962317
-28.436089,177,446.981591
-28.759063,179,448.076259
-29.532527,188,449.184086
-28.120521,176,457.174777
-29.117964,180,458.200648
-28.555629,179,459.087326
-27.990356,175,460.038018
-28.70103,178,460.989621
-28.79129,179,462.013778
-29.198849,182,463.04627
-29.023337,183,464.142413
-28.343882,177,465.160914
