#{"t_start": 1715252734.695842, "env_id": "PandaReachObjEnv-v0"}
r,l,t
-2.6998,24,0.715622
-282.90387,501,4.63239
-252.905534,501,8.370354
-518.912566,501,12.150278
-0.950283,9,12.284454
-239.21219,501,16.485344
-225.490656,501,27.721947
-156.368206,501,32.030444
-5.414801,44,32.557388
-168.765415,501,36.833816
-174.987002,501,41.787318
-0.348393,5,0.567323
-1.237215,11,0.729512
-166.511306,501,4.720396
-172.468073,501,9.160924
-175.629889,501,13.457951
-161.649632,501,17.843756
-91.846489,501,28.872185
-150.033375,501,33.851957
-153.1498,501,38.594727
-155.385279,501,43.360751
-0.313974,5,0.608732
-335.300485,501,5.193575
-149.178009,501,9.735691
-209.283054,501,14.694886
-1.564454,14,15.165877
-0.81161,7,15.291635
-162.072937,501,19.984817
-0.874867,9,20.192738
-166.026024,501,31.556608
-145.486121,501,36.339956
-1.921678,17,36.747735
-109.482308,501,41.653045
-1.009875,12,41.899855
-144.0568,501,46.728304
-0.996832,8,46.993105
-86.765636,501,58.666659
-0.921215,8,58.806587
-0.363455,4,58.904859
-334.945251,501,63.803287
-66.842862,501,68.605572
-179.032619,501,73.665606
-143.637579,501,85.183065
-0.409419,4,85.27897
-214.974146,501,90.765971
-184.41633,501,95.985927
-145.723857,501,101.294117
-0.302173,5,0.680279
-200.239418,501,5.272901
-197.839953,501,10.055376
-99.42822,501,15.115684
-3.685957,37,16.19492
-301.145873,501,21.332167
-0.204421,3,28.205786
-150.31188,501,33.223058
-1.965274,16,33.630086
-0.216434,3,33.72598
-1.252586,13,34.042517
-86.052885,501,39.515796
-209.339267,501,44.757573
-131.693522,501,50.328553
-66.368683,501,63.863765
-181.235101,501,69.921664
-109.01764,501,74.994772
-0.185688,3,75.228516
-1.318266,14,75.474998
-142.692632,501,80.73167
-143.37738,501,93.345679
-2.14122,19,93.563631
-61.993214,501,99.2054
-0.123374,2,99.290663
-0.687521,7,99.415719
-0.188259,3,99.53613
-4.705917,39,100.446941
-146.043497,501,105.742268
-0.195573,3,105.832941
-118.958675,501,111.266791
