#{"t_start": 1715252734.7281091, "env_id": "PandaReachObjEnv-v0"}
r,l,t
-13.005744,62,1.032164
-430.875479,501,4.926465
-291.290444,501,8.688582
-312.032375,501,12.671185
-312.057917,501,23.869658
-152.452728,501,28.041701
-34.367598,100,28.940022
-0.587579,5,29.059623
-192.341192,501,33.209769
-179.76885,501,37.489742
-170.909883,501,4.545597
-177.364902,501,8.708537
-166.349918,501,13.141567
-172.596812,501,17.532652
-153.990358,501,28.643655
-471.436488,501,33.54515
-0.128944,2,33.63428
-148.528301,501,38.386054
-11.050927,65,39.364392
-180.093375,501,44.270925
-150.57428,501,5.222834
-114.939235,501,9.763191
-148.458808,501,14.718491
-125.866924,501,19.496903
-168.1042,501,30.924415
-0.268036,3,31.016694
-85.520805,501,36.019229
-241.466237,501,40.794543
-9.140969,64,42.151798
-165.429621,501,47.033266
-173.855422,501,58.703534
-62.263055,501,63.689776
-148.082611,501,68.486813
-147.99305,501,73.53366
-145.777262,501,85.045662
-3.555385,36,85.619223
-0.435422,5,85.724367
-0.185274,3,85.81631
-0.321121,4,85.913329
-143.412658,501,91.280387
-0.426723,5,91.387961
-1.113367,12,91.546733
-112.682846,501,96.815021
-148.514318,501,102.001075
-146.137403,501,5.252473
-3.732942,23,5.733731
-0.487041,6,5.92054
-144.602936,501,10.795103
-111.776971,501,16.053104
-144.674006,501,21.135057
-161.72039,501,33.20144
-107.919224,501,38.765508
-0.691803,7,38.968519
-55.827889,501,44.060839
-3.989952,31,44.59488
-0.547017,7,44.847509
-205.418947,501,50.416704
-89.183088,501,63.94333
-0.4086,5,64.188585
-126.563586,501,70.248522
-75.232386,501,75.3308
-250.839472,501,80.6528
-165.306279,501,93.141444
-0.524139,7,93.398495
-184.440473,501,99.093183
-85.418815,501,105.123038
-151.06279,501,110.512186
-0.138535,2,110.590703
