#{"t_start": 1715252734.722989, "env_id": "PandaReachObjEnv-v0"}
r,l,t
-271.642386,501,4.238374
-284.100151,501,7.940529
-310.438389,501,11.699761
-347.641746,501,16.006098
-257.947654,501,27.189726
-213.338277,501,31.539944
-150.896543,501,35.872219
-167.881455,501,40.609503
-164.258113,501,4.526064
-41.305873,196,6.198326
-169.833133,501,10.691571
-157.992994,501,15.065995
-174.439009,501,26.209218
-144.164026,501,30.825701
-153.480802,501,35.659244
-0.253144,3,35.750391
-333.946657,501,40.503899
-140.779773,501,5.066638
-158.890807,501,9.605788
-147.681486,501,14.566768
-290.315889,501,19.341294
-142.454185,501,30.771269
-129.021349,501,35.76736
-193.797397,501,40.545539
-139.310563,501,45.625937
-147.281003,501,57.404329
-146.926473,501,62.672957
-64.143342,501,67.345553
-149.424101,501,72.285063
-190.608582,501,83.92065
-299.119409,501,89.02979
-0.672124,7,89.150655
-1.760577,16,89.539996
-1.317466,14,89.842346
-180.738746,501,94.900381
-0.298114,4,94.994244
-3.35359,26,95.535841
-147.499288,501,100.811445
-0.536451,6,101.052559
-158.17465,501,5.088358
-143.658518,501,9.794492
-541.064653,501,14.936062
-303.030171,501,20.192392
-135.012078,501,32.5342
-11.110926,65,33.814998
-0.341894,4,33.91791
-160.059668,501,39.382988
-142.130157,501,44.506785
-0.206457,3,44.599701
-65.357926,501,50.096028
-2.724069,23,58.089043
-3.564796,33,58.591404
-165.262143,501,64.522297
-179.968904,501,70.620866
-144.042848,501,75.892721
-140.837116,501,81.113938
-94.84782,501,93.763308
-142.587208,501,99.635837
-0.853049,9,99.843791
-1.198131,13,100.150921
-0.144883,2,100.232304
-0.35543,5,100.335224
-0.83998,10,100.574813
-0.713945,8,100.716864
-158.356106,501,105.984885
-129.490816,501,111.409236
