#{"t_start": 1715252734.593018, "env_id": "PandaReachObjEnv-v0"}
r,l,t
-398.92346,501,4.362278
-365.515784,501,8.069431
-331.468693,501,11.826238
-357.417175,501,16.134053
-178.903208,501,27.317362
-328.857133,501,31.668014
-160.503859,501,35.999496
-300.275623,501,40.739236
-143.084735,501,4.632323
-38.56865,150,5.900824
-161.643065,501,10.372512
-186.650861,501,14.757726
-171.550926,501,25.862776
-85.728639,501,30.478512
-45.286023,179,32.04593
-7.220743,48,32.508215
-149.057461,501,37.378948
-142.252582,501,42.087133
-23.860558,89,42.861953
-0.943973,9,0.756605
-155.624314,501,5.346108
-210.127848,501,9.947755
-167.320165,501,14.841833
-2.044296,17,15.333139
-308.190333,501,20.024911
-137.490924,501,31.39241
-0.785339,7,31.518245
-2.010365,17,31.917752
-146.074982,501,36.710405
-199.758324,501,41.607895
-135.981591,501,46.529527
-146.083798,501,58.328939
-64.569513,501,63.323596
-144.520482,501,68.111195
-171.395951,501,73.104279
-194.58424,501,84.557415
-0.334452,4,84.71592
-148.120562,501,90.216601
-180.837645,501,95.277994
-137.504997,501,100.620724
-174.400692,501,5.026922
-3.447397,29,5.693978
-159.517536,501,10.568296
-0.352923,4,10.669665
-181.825863,501,15.930451
-172.859748,501,21.005568
-0.829383,7,21.190824
-0.218901,3,21.360833
-0.395221,4,28.248667
-0.140785,2,28.336338
-0.575217,5,28.478166
-146.451837,501,33.38302
-142.089368,501,39.064699
-166.126569,501,44.120305
-3.201765,24,44.781916
-147.436277,501,50.355825
-111.293106,501,63.888663
-120.806867,501,69.94988
-0.78814,7,70.130573
-138.758307,501,75.285338
-4.477447,36,75.709615
-1.072886,12,75.94479
-145.496334,501,88.407165
-150.010252,501,93.809688
-150.926757,501,99.684064
-0.460763,5,99.858215
-0.410129,5,99.968155
-82.586368,501,105.448962
-213.586436,501,110.850136
-0.44099,5,110.954455
-0.456209,5,111.054446
