#{"t_start": 1715252734.706126, "env_id": "PandaReachObjEnv-v0"}
r,l,t
-182.340658,501,4.249083
-284.532921,501,7.95342
-334.299336,501,11.7131
-343.108376,501,16.020745
-178.737899,501,27.204207
-199.251474,501,31.554665
-289.504418,501,35.886305
-178.469421,501,40.626156
-328.003035,501,4.504641
-171.28706,501,8.66738
-174.381606,501,13.104192
-152.771789,501,17.491571
-156.958045,501,28.602813
-163.460007,501,33.50429
-150.039094,501,38.256748
-147.81808,501,43.08651
-1.637431,14,0.774944
-103.967973,501,5.348684
-170.718649,501,10.099772
-232.870128,501,14.922475
-146.299062,501,19.687808
-3.23073,19,20.048491
-1.839131,17,27.008288
-0.332431,4,27.110841
-151.118059,501,31.914873
-95.342056,501,36.775829
-151.277815,501,41.680373
-88.863245,501,46.523675
-1.386517,13,46.824864
-110.521966,501,58.49636
-146.489862,501,63.480285
-150.150931,501,68.277732
-149.729407,501,73.324685
-196.133989,501,84.836694
-184.477017,501,90.34315
-155.611157,501,95.479331
-0.397906,5,95.657349
-153.681659,501,100.929454
-219.879851,501,5.212781
-128.927898,501,9.92354
-1.204326,10,10.315272
-4.231227,30,11.122316
-137.76202,501,16.2449
-146.847764,501,21.37824
-0.123685,2,21.469993
-0.994743,12,28.663511
-152.90689,501,33.571654
-98.029667,501,39.253943
-144.783191,501,44.307996
-108.922875,501,49.801721
-0.338623,4,49.898971
-136.867689,501,63.505785
-0.584463,7,63.626363
-0.185105,3,63.715989
-128.879196,501,69.717813
-0.577125,6,69.899247
-150.079866,501,75.048345
-323.85693,501,80.427417
-0.846307,9,80.714874
-180.947235,501,93.198755
-173.042789,501,98.892415
-163.765773,501,104.929852
-162.024924,501,110.31284
-0.159139,2,110.396343
