#{"t_start": 1715246911.681684, "env_id": "PandaPickAndPlace-v3"}
r,l,t
-50.0,50,0.691524
-50.0,50,0.852227
-50.0,50,1.007514
-50.0,50,1.166159
-50.0,50,1.311989
-50.0,50,1.467544
-50.0,50,1.624759
-50.0,50,1.777532
-50.0,50,1.933673
-50.0,50,2.092303
-50.0,50,2.245207
-50.0,50,2.405354
-50.0,50,2.558955
-50.0,50,2.712779
-50.0,50,2.872066
-50.0,50,3.022712
-50.0,50,3.177931
-50.0,50,3.329742
-50.0,50,3.485557
-50.0,50,3.640816
-50.0,50,3.853296
-50.0,50,4.008373
-50.0,50,4.161456
-50.0,50,4.317617
-50.0,50,4.472448
-50.0,50,4.628917
-50.0,50,4.792817
-50.0,50,4.946794
-50.0,50,5.121911
-50.0,50,5.302763
-50.0,50,5.479805
-50.0,50,5.695913
-50.0,50,5.905306
-50.0,50,6.068117
-50.0,50,6.232685
-50.0,50,6.394604
-50.0,50,6.552817
-50.0,50,6.755944
-50.0,50,6.935562
-50.0,50,7.108565
-50.0,50,15.213782
-50.0,50,15.390365
-50.0,50,15.554067
-50.0,50,15.712593
-50.0,50,15.881438
-50.0,50,16.044603
-50.0,50,16.208849
-50.0,50,16.363202
-50.0,50,16.521172
-50.0,50,16.680697
-50.0,50,16.830294
-50.0,50,16.987821
-21.0,22,17.06094
-50.0,50,17.218865
-50.0,50,17.373603
-50.0,50,17.53732
-50.0,50,17.703405
-50.0,50,17.861569
-50.0,50,18.02481
-50.0,50,18.176695
-50.0,50,18.347874
-50.0,50,18.503827
-50.0,50,18.664041
-50.0,50,18.820937
-50.0,50,18.984319
-50.0,50,19.141001
-50.0,50,19.300191
-50.0,50,19.461486
-50.0,50,19.630212
-50.0,50,19.796428
-50.0,50,19.954152
-50.0,50,20.113264
-50.0,50,20.271189
-50.0,50,20.428253
-50.0,50,20.587154
-50.0,50,20.738241
-50.0,50,20.891416
-50.0,50,21.043867
-50.0,50,21.197601
-50.0,50,21.355998
-50.0,50,21.52385
-50.0,50,21.679901
-50.0,50,28.672538
-50.0,50,28.844511
-50.0,50,28.996207
-50.0,50,29.158968
-50.0,50,29.315385
-50.0,50,29.476544
-50.0,50,29.635978
-50.0,50,29.792854
-50.0,50,29.948973
-50.0,50,30.110776
-50.0,50,30.267051
-50.0,50,30.42838
-50.0,50,30.582947
-50.0,50,30.740401
-50.0,50,30.895407
-50.0,50,31.058582
0.0,1,31.062088
-50.0,50,31.21935
-50.0,50,31.373714
-50.0,50,31.538159
-50.0,50,31.696945
-50.0,50,31.851452
-50.0,50,32.0037
-50.0,50,32.160012
-50.0,50,32.313647
-50.0,50,32.476215
-50.0,50,32.632485
-50.0,50,32.795575
-50.0,50,32.95066
-50.0,50,33.112266
-50.0,50,33.270043
-50.0,50,33.425205
-50.0,50,33.584379
-50.0,50,33.739954
-50.0,50,33.894376
-50.0,50,34.053028
-50.0,50,34.20928
-50.0,50,34.363742
-50.0,50,34.524461
-50.0,50,34.685333
-50.0,50,34.838833
-50.0,50,34.997909
-50.0,50,42.061166
-50.0,50,42.229039
-50.0,50,42.384648
-50.0,50,42.538905
-50.0,50,42.693293
-50.0,50,42.849706
-50.0,50,43.007397
-50.0,50,43.172362
-50.0,50,43.330375
0.0,1,43.333632
-50.0,50,43.491912
-50.0,50,43.646776
-50.0,50,43.803512
-50.0,50,43.963719
-50.0,50,44.11866
0.0,1,44.121932
-50.0,50,44.277205
-50.0,50,44.431952
-50.0,50,44.589346
-50.0,50,44.76008
-50.0,50,44.91482
-50.0,50,45.071327
-50.0,50,45.229257
-50.0,50,45.390206
-50.0,50,45.546724
-50.0,50,45.700051
-50.0,50,45.854698
-50.0,50,46.011493
-50.0,50,46.166329
-50.0,50,46.314987
-50.0,50,46.47357
-50.0,50,46.628431
-50.0,50,46.781111
-50.0,50,46.940063
-50.0,50,47.093706
-50.0,50,47.250886
-50.0,50,47.407874
-50.0,50,47.569717
-50.0,50,47.730317
-50.0,50,47.897236
-50.0,50,48.053239
-50.0,50,48.214187
-50.0,50,48.372504
-50.0,50,55.384198
-50.0,50,55.548737
0.0,1,55.551908
-50.0,50,55.70585
-50.0,50,55.857897
-50.0,50,56.012879
-50.0,50,56.166284
-50.0,50,56.32079
-50.0,50,56.479395
-50.0,50,56.639756
-50.0,50,56.797129
-50.0,50,56.950558
-50.0,50,57.105359
-50.0,50,57.257159
-50.0,50,57.413755
-50.0,50,57.571464
0.0,1,57.57535
-50.0,50,57.732333
-50.0,50,57.89671
