#{"t_start": 1715269046.6688151, "env_id": "PandaPush-v3"}
r,l,t
-14.141941,50,0.697771
-14.141793,50,0.859532
-14.141833,50,1.013199
-14.14185,50,1.176431
-14.141793,50,1.335629
-14.14188,50,1.488309
-16.17743,50,1.646147
-29.343052,50,1.803331
-15.472547,50,1.95744
-14.143244,50,2.112264
-16.594492,50,2.263535
-14.141905,50,2.414534
-19.22688,50,2.574496
-19.209121,50,2.726967
-14.117736,50,2.885855
-14.143543,50,3.041939
-25.488292,50,3.198854
-13.180676,50,3.353916
-14.142477,50,3.505366
-13.908939,50,3.66017
-14.14019,50,3.877877
-13.474494,50,4.032625
-14.142364,50,4.188042
-14.141955,50,4.349121
-8.44353,50,4.505716
-14.140166,50,4.66374
-11.368333,50,4.821204
-14.142417,50,4.978693
-14.142,50,5.142552
-14.216883,50,5.30248
-14.142959,50,5.457404
-14.142957,50,5.612613
-14.153817,50,5.768813
-14.141501,50,5.925224
-16.391013,50,6.074846
-13.881153,50,6.228385
-15.844254,50,6.390598
-14.143586,50,6.550761
-14.143271,50,6.713939
-14.143619,50,6.87098
-14.143237,50,14.541031
-14.143209,50,14.735609
-14.143728,50,14.904009
-14.143268,50,15.112373
-14.143256,50,15.279742
-14.143551,50,15.448155
-14.143562,50,15.605621
-10.934416,50,15.762528
-15.113396,50,15.92123
-20.526442,50,16.071422
-12.753187,50,16.225758
-14.142401,50,16.384418
-15.044398,50,16.541421
-14.142053,50,16.696766
-14.1421,50,16.855178
-19.566295,50,17.015318
-13.113853,50,17.168069
-18.924525,50,17.327516
-12.236709,50,17.487348
-14.140243,50,17.642222
-14.140544,50,17.803922
-11.07106,50,17.964167
-18.721772,50,18.119174
-14.14328,50,18.277822
-14.143408,50,18.433558
-14.143411,50,18.590463
-21.322288,50,18.748697
-14.141793,50,18.909591
-14.141984,50,19.062044
-14.141905,50,19.222671
-14.141832,50,19.383244
-11.918519,50,19.542988
-14.140343,50,19.69728
-14.315141,50,19.851658
-14.141384,50,20.005922
-14.141529,50,20.163145
-14.141756,50,20.314553
-14.141452,50,20.476038
-14.14138,50,20.630888
-14.141529,50,20.790559
-14.141708,50,20.957933
-13.792944,50,27.98312
-12.591199,50,28.162493
-26.222212,50,28.32176
-14.142443,50,28.483934
-10.786693,50,28.635764
-14.143726,50,28.790875
-14.894863,50,28.948432
-14.140803,50,29.103113
-14.140544,50,29.259818
-11.934925,50,29.418281
-14.142911,50,29.578484
-14.142987,50,29.734186
-12.227177,50,29.890128
-14.14237,50,30.037297
-29.194881,50,30.191198
-14.143382,50,30.346534
-14.142763,50,30.5004
-14.142738,50,30.657887
-14.142715,50,30.814688
-14.142987,50,30.975057
-23.472066,50,31.130295
-20.871905,50,31.288701
-14.142374,50,31.441066
-14.082926,50,31.596895
-14.142293,50,31.752354
-14.142478,50,31.904188
-18.797078,50,32.057963
-20.857774,50,32.215293
-16.231671,50,32.371312
-14.142811,50,32.524962
-14.142945,50,32.673083
-14.142961,50,32.832859
-17.924321,50,32.992478
-20.04771,50,33.149799
-18.564603,50,33.300452
-14.142061,50,33.457502
-15.433663,50,33.61414
-14.616985,50,33.768331
-10.829007,50,33.926646
-14.142908,50,34.100548
-14.142775,50,34.253341
-14.142978,50,41.378917
-14.142987,50,41.550886
-14.142753,50,41.706364
-14.142987,50,41.860991
-19.33156,50,42.018987
-17.373608,50,42.168074
-18.074229,50,42.317728
-14.142048,50,42.470693
-14.142478,50,42.623813
-14.142403,50,42.777644
-26.493743,50,42.933216
-14.143686,50,43.084139
-14.143507,50,43.239493
-14.363983,50,43.397132
-14.141281,50,43.546638
-21.990784,50,43.699513
-14.142363,50,43.853597
-21.64422,50,43.999721
-14.142413,50,44.172703
-14.141961,50,44.326388
-14.141928,50,44.487287
-14.141928,50,44.644638
-14.141946,50,44.80051
-14.141928,50,44.946083
-20.670833,50,45.1032
-14.142967,50,45.253161
-14.143693,50,45.408833
-16.548528,50,45.564288
-14.143111,50,45.718187
-23.475384,50,45.873853
-14.142048,50,46.026548
-14.142448,50,46.177679
-14.134546,50,46.332286
-14.14246,50,46.488521
-14.142478,50,46.639514
-14.142426,50,46.79555
-14.142441,50,46.951065
-34.682579,50,47.1064
-14.143726,50,47.268744
-14.143142,50,47.419207
-14.143728,50,47.565922
-10.250197,50,54.431764
-14.142053,50,54.600018
-14.142053,50,54.750131
-14.142053,50,54.901894
